,Year,Country.Code,Commodity.Code,Animal.health,Consumer.information,Cost.saving,Food.safety,Harmonization,Labelling,Lower.barriers.to.trade,National.security.requirements,Not.specified,Other,Plant.protection,Prevention.of.deceptive.practices.and.consumer.protection,Protect.humans.from.animal.plant.pest.or.disease,Protect.territory.from.other.damage.from.pests,Protection.of.animal.or.plant.life.or.health,Protection.of.Human.health.or.Safety,Protection.of.the.environment,Quality.requirements,Trade.Value..US..,gdp_d,gdp_o,comrelig,gatt_d,gatt_o,eu_d,Origin,distw,ln_gdp_o,ln_gdp_d,ln_trade,ln_dist,contig,ln_Tariff
0,1997,USA,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408970,8608500154368.0,871200325632.0,0.280848,1.0,1.0,0.0,BRA,8088.513875954441,27.4931377823392,29.783771221094998,12.9213970827015,8.998200294284679,0,0.0
1,2005,USA,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1657279,13093699584000.0,882185732096.0,0.280848,1.0,1.0,0.0,BRA,8088.513875954441,27.505668451391898,30.203152282656898,14.320687658819098,8.998200294284679,0,1.22671229129543
3,2007,ALB,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37971925,10701011968.0,1366824058880.0,0.000205,1.0,1.0,0.0,BRA,9388.915093583679,27.9435109593739,23.093604150390803,17.4523576288423,9.14728502703773,0,2.3978952727983702
4,2007,ALB,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6470,10701011968.0,1366824058880.0,0.000205,1.0,1.0,0.0,BRA,9388.915093583679,27.9435109593739,23.093604150390803,8.77493138749495,9.14728502703773,0,2.3978952727983702
5,2007,ALB,10,17,0,0,9,0,0,0,0,0,0,0,0,10,2,0,0,0,0,6470,10701011968.0,1366824058880.0,0.000205,1.0,1.0,0.0,BRA,9388.915093583679,27.9435109593739,23.093604150390803,8.77493138749495,9.14728502703773,0,0.0
6,2007,ALB,10,8,0,0,5,0,0,0,0,0,0,0,0,7,1,0,0,0,0,6470,10701011968.0,1366824058880.0,0.000205,1.0,1.0,0.0,BRA,9388.915093583679,27.9435109593739,23.093604150390803,8.77493138749495,9.14728502703773,0,0.0
7,2007,ALB,10,17,0,0,8,0,0,0,0,0,0,0,0,10,2,0,0,0,0,6470,10701011968.0,1366824058880.0,0.000205,1.0,1.0,0.0,BRA,9388.915093583679,27.9435109593739,23.093604150390803,8.77493138749495,9.14728502703773,0,0.0
8,2007,ALB,10,9,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6470,10701011968.0,1366824058880.0,0.000205,1.0,1.0,0.0,BRA,9388.915093583679,27.9435109593739,23.093604150390803,8.77493138749495,9.14728502703773,0,0.0
17,2007,ALB,10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6470,10701011968.0,1366824058880.0,0.000205,1.0,1.0,0.0,BRA,9388.915093583679,27.9435109593739,23.093604150390803,8.77493138749495,9.14728502703773,0,0.0
19,2007,ARG,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,212442,329761488896.0,1366824058880.0,0.80533004,1.0,1.0,0.0,BRA,2391.84640317984,27.9435109593739,26.5216354691681,12.2664242889149,7.77982090029134,1,1.9430489167742802
20,2007,ARG,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2120985,329761488896.0,1366824058880.0,0.80533004,1.0,1.0,0.0,BRA,2391.84640317984,27.9435109593739,26.5216354691681,14.567391161386,7.77982090029134,1,0.0769610411361284
22,2007,ARG,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2120985,329761488896.0,1366824058880.0,0.80533004,1.0,1.0,0.0,BRA,2391.84640317984,27.9435109593739,26.5216354691681,14.567391161386,7.77982090029134,1,0.0
23,2007,ARG,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2120985,329761488896.0,1366824058880.0,0.80533004,1.0,1.0,0.0,BRA,2391.84640317984,27.9435109593739,26.5216354691681,14.567391161386,7.77982090029134,1,0.0
24,2007,ARG,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2120985,329761488896.0,1366824058880.0,0.80533004,1.0,1.0,0.0,BRA,2391.84640317984,27.9435109593739,26.5216354691681,14.567391161386,7.77982090029134,1,0.0
25,2007,ARM,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,2.3978952727983702
48,2007,ARM,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
49,2007,ARM,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
50,2007,ARM,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
51,2007,ARM,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
52,2007,ARM,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
53,2007,ARM,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
54,2007,ARM,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
55,2007,ARM,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
56,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
57,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
58,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
59,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
60,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
61,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
62,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
63,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
64,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
65,2007,ARM,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13132600,9206301696.0,1366824058880.0,0.0,1.0,1.0,0.0,BRA,11270.8848338432,27.9435109593739,22.943154053475105,16.390608246477598,9.32997811627161,0,0.0
