,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp,ln_PIB,ln_Import,ln_distw,ln_Tariff
0,0,0,0,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,1,0.0,0.0,585.559,BRA,19.421863024233,6.372566946534829,7.779820731727057,-inf
1,1,1,1,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,2,0.0,0.0,101161.93,BRA,19.421863024233,11.524477779289134,7.779820731727057,-inf
2,2,2,2,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,3,0.0,0.0,2992.493,BRA,19.421863024233,8.003862098248106,7.779820731727057,-inf
3,3,3,3,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,4,0.0,0.0,3584.473,BRA,19.421863024233,8.184366740833257,7.779820731727057,-inf
4,4,4,4,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,5,0.0,0.0,68.207,BRA,19.421863024233,4.2225471988785515,7.779820731727057,-inf
5,5,5,5,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,6,0.0,0.0,352.836,BRA,19.421863024233,5.866003359743153,7.779820731727057,-inf
6,6,6,6,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,7,0.0,0.0,5395.49,BRA,19.421863024233,8.593318698405723,7.779820731727057,-inf
7,7,7,7,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,8,0.0,0.0,14629.301000000001,BRA,19.421863024233,9.590781714335487,7.779820731727057,-inf
8,8,8,8,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,9,0.0,0.0,88655.845,BRA,19.421863024233,11.392517242774977,7.779820731727057,-inf
9,9,9,9,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,10,0.0,0.0,8472.815,BRA,19.421863024233,9.044618081898962,7.779820731727057,-inf
10,10,10,10,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,11,0.0,0.0,2702.363,BRA,19.421863024233,7.901881854426354,7.779820731727057,-inf
11,11,11,11,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,12,0.0,0.0,567.552,BRA,19.421863024233,6.341332375113737,7.779820731727057,-inf
12,12,12,12,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,13,0.0,0.0,1934.46,BRA,19.421863024233,7.567583496749227,7.779820731727057,-inf
13,13,13,13,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,14,0.0,0.0,4.753,BRA,19.421863024233,1.5587759976318725,7.779820731727057,-inf
14,14,14,14,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,15,0.0,0.0,11829.665,BRA,19.421863024233,9.378365638735465,7.779820731727057,-inf
15,15,15,15,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,3,0.0,0.0,123.699,BRA,19.80773164735004,4.817851195291392,9.550146331278073,-inf
16,16,16,16,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,6,0.0,0.0,36.999,BRA,19.80773164735004,3.610890885251961,9.550146331278073,-inf
17,17,17,17,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,8,0.0,0.0,1647.629,BRA,19.80773164735004,7.407092563766577,9.550146331278073,-inf
18,18,18,18,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,9,0.0,0.0,9704.558,BRA,19.80773164735004,9.180350951031711,9.550146331278073,-inf
19,19,19,19,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,10,0.0,0.0,657.347,BRA,19.80773164735004,6.4882120373533905,9.550146331278073,-inf
20,20,20,20,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,11,2.0,0.28,8.345,BRA,19.80773164735004,2.1216625571137984,9.550146331278073,-1.2729656758128873
21,21,21,21,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,12,0.0,0.0,198.042,BRA,19.80773164735004,5.288479129412133,9.550146331278073,-inf
22,22,22,22,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,13,1.0,1.74,25.739,BRA,19.80773164735004,3.248007351374448,9.550146331278073,0.5538851132264376
23,23,23,23,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,15,0.0,0.0,316.573,BRA,19.80773164735004,5.757553862698458,9.550146331278073,-inf
24,24,24,24,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,1,9.5,9.86,345.24800000000016,BRA,15.816580562985227,5.84426299936893,7.778588287931509,2.288486168614544
25,25,25,25,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,2,10.0,10.0,5.078,BRA,15.816580562985227,1.6249174832824866,7.778588287931509,2.302585092994046
26,26,26,26,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,3,10.0,10.0,1.345,BRA,15.816580562985227,0.2963940130538024,7.778588287931509,2.302585092994046
27,27,27,27,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,4,10.0,10.0,19.243,BRA,15.816580562985227,2.957147358238422,7.778588287931509,2.302585092994046
28,28,28,28,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,5,10.0,10.0,4.7410000000000005,BRA,15.816580562985227,1.5562480839199815,7.778588287931509,2.302585092994046
