"","Country.Name","Country.Code","Year","Commodity.Code","Weighted.Average","contig","distw","Trade.Value..US..","Animal.health","Consumer.information","Cost.saving","Food.safety","Harmonization","Labelling","Lower.barriers.to.trade","National.security.requirements","Not.specified","Other","Plant.protection","Prevention.of.deceptive.practices.and.consumer.protection","Protect.humans.from.animal.plant.pest.or.disease","Protect.territory.from.other.damage.from.pests","Protection.of.animal.or.plant.life.or.health","Protection.of.Human.health.or.Safety","Protection.of.the.environment","Quality.requirements","ln_PIB","ln_Tariff","ln_Export"
"1","United States","USA",1997,2,0,0,"8088.514",408970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7801699611779,0,12.9213970827015
"2","United States","USA",2005,1,2.41,0,"8088.514",1657279,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30.198784988079,1.22671229129543,14.3206876588191
"3","Albania","ALB",2007,2,10,0,"9388.915",37971925,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.0913878422429,2.39789527279837,17.4523576288423
"4","Albania","ALB",2007,4,10,0,"9388.915",6470,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.0913878422429,2.39789527279837,8.77493138749495
"5","Albania","ALB",2007,10,10,0,"9388.915",6470,17,0,0,9,0,0,0,0,0,0,0,0,10,2,0,0,0,0,23.0913878422429,2.39789527279837,8.77493138749495
"6","Albania","ALB",2007,10,10,0,"9388.915",6470,8,0,0,5,0,0,0,0,0,0,0,0,7,1,0,0,0,0,23.0913878422429,2.39789527279837,8.77493138749495
"7","Albania","ALB",2007,10,10,0,"9388.915",6470,17,0,0,8,0,0,0,0,0,0,0,0,10,2,0,0,0,0,23.0913878422429,2.39789527279837,8.77493138749495
"8","Albania","ALB",2007,10,10,0,"9388.915",6470,9,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,23.0913878422429,2.39789527279837,8.77493138749495
"9","Albania","ALB",2007,10,10,0,"9388.915",6470,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.0913878422429,2.39789527279837,8.77493138749495
"10","Argentina","ARG",2007,6,5.98,1,"2391.846",212442,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26.3845948078341,1.94304891677428,12.2664242889149
"11","Argentina","ARG",2007,12,0.08,1,"2391.846",2120985,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26.3845948078341,0.0769610411361284,14.567391161386
"12","Argentina","ARG",2007,10,3.93,1,"2391.846",3401879,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.3845948078341,1.5953389880546,15.0398384839921
"13","Argentina","ARG",2007,12,0.08,1,"2391.846",2120985,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.3845948078341,0.0769610411361284,14.567391161386
"14","Argentina","ARG",2007,12,0.08,1,"2391.846",2120985,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.3845948078341,0.0769610411361284,14.567391161386
"15","Armenia","ARM",2007,2,10,0,"11270.88",13132600,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.9431540539527,2.39789527279837,16.3906082464776
"16","Armenia","ARM",2007,10,10,0,"11270.88",13132600,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22.9431540539527,2.39789527279837,16.3906082464776
"17","Armenia","ARM",2007,10,10,0,"11270.88",13132600,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22.9431540539527,2.39789527279837,16.3906082464776
"18","Armenia","ARM",2007,10,10,0,"11270.88",13132600,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22.9431540539527,2.39789527279837,16.3906082464776
"19","Armenia","ARM",2007,10,10,0,"11270.88",13132600,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22.9431540539527,2.39789527279837,16.3906082464776
"20","Armenia","ARM",2007,10,10,0,"11270.88",13132600,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22.9431540539527,2.39789527279837,16.3906082464776
