,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp,ln_PIB,ln_Import,ln_distw,ln_Tariff,Animal health,Consumer information,Cost saving,Food safety,Harmonization,Labelling,Lower barriers to trade,National security requirements,Not specified,Other,Plant protection,Prevention of deceptive practices and consumer protection,Protect humans from animal/plant pest or disease,Protect territory from other damage from pests,Protection of Human health or Safety,Protection of animal or plant life or health,Protection of the environment,Quality requirements
0,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,1,0.0,0.0,585.559,BRA,19.421863024233,6.372566946534829,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,2,0.0,0.0,101161.93,BRA,19.421863024233,11.524477779289136,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,3,0.0,0.0,2992.493,BRA,19.421863024233,8.003862098248106,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,4,0.0,0.0,3584.473,BRA,19.421863024233,8.184366740833257,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,5,0.0,0.0,68.207,BRA,19.421863024233,4.222547198878552,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,6,0.0,0.0,352.836,BRA,19.421863024233,5.866003359743153,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,7,0.0,0.0,5395.49,BRA,19.421863024233,8.593318698405723,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,8,0.0,0.0,14629.301,BRA,19.421863024233,9.590781714335488,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,9,0.0,0.0,88655.845,BRA,19.421863024233,11.392517242774975,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,10,0.0,0.0,8472.815,BRA,19.421863024233,9.044618081898964,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,11,0.0,0.0,2702.363,BRA,19.421863024233,7.901881854426353,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,12,0.0,0.0,567.552,BRA,19.421863024233,6.341332375113738,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Argentina,ARG,1996,272149750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.067,2353.257,2391.846,2089.281,13,0.0,0.0,1934.46,BRA,19.421863024233,7.5675834967492275,7.779820731727058,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
