Country Code,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,0,0,0,0,0,0,0,0,4759.608,3988.915,4431.571,4272.204
AFG,0,0,0,0,0,0,0,0,13771.76,13470.08,13223.75,13180.02
AGO,0,1,1,0,0,0,0,0,6559.966,6674.706,6440.572,6391.615
AIA,0,0,0,0,0,0,0,0,4977.742,4132.483,4549.716,4382.355
ALB,0,0,0,0,0,0,0,0,9943.985,9414.849,9388.915,9313.151
AND,0,0,0,0,0,0,0,0,8853.326,8221.112,8274.031,8178.471
ANT,0,0,0,0,0,0,0,0,4649.895,3871.581,4349.828,4181.358
ARE,0,0,0,0,0,0,0,0,12129.45,11957.41,11848.63,11809.98
ARG,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281
ARM,0,0,0,0,0,0,0,0,11769.69,11342.55,11270.88,11214.9
ATG,0,0,0,0,0,0,0,0,4818.193,3969.111,4385.591,4209.473
AUS,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36
AUT,0,0,0,0,0,0,0,0,10146.47,9534.888,9478.487,9395.406
AZE,0,0,0,0,0,0,0,0,12214.38,11797.16,11624.51,11569.65
BDI,0,0,0,0,0,0,0,0,8433.928,8547.685,8297.637,8260.768
BEL,0,0,0,0,0,0,0,0,9665.722,8984.677,9067.367,8977.309
BEN,0,0,0,0,0,0,0,0,6291.807,6111.194,5980.872,5893.825
BFA,0,0,0,0,0,0,0,0,6314.805,5976.188,5824.24,5717.327
BGD,0,0,0,0,0,0,0,0,15665.7,15591.09,15318.11,15292.22
BGR,0,0,0,0,0,0,0,0,10267.08,9738.726,9841.712,9768.308
BHR,0,0,0,0,0,0,0,0,11828.47,11617.3,11426.47,11384.75
BHS,0,0,0,0,0,0,0,0,6343.316,5556.084,6013.86,5905.033
BIH,0,0,0,0,0,0,0,0,10003.96,9442.659,9429.95,9351.396
BLR,0,0,0,0,0,0,0,0,11135.23,10505.83,10562.15,10486.81
BLZ,0,0,0,0,0,0,0,0,6447.859,5797.847,6225.439,6144.26
BMU,0,0,0,0,0,0,0,0,6507.205,5645.962,6023.536,5897.94
BOL,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.878
BRA,0,0,0,0,0,0,0,0,1097.356,1097.356,1157.494,144.831
BRB,0,0,0,0,0,0,0,0,4315.083,3463.008,3890.946,3685.439
BRN,0,0,0,0,0,0,0,0,17173.37,17806.82,17237.35,17221.85
BTN,0,0,0,0,0,0,0,0,15652.48,15487.57,15264.21,15235.1
BWA,0,0,0,0,0,0,0,0,7274.823,7687.095,7388.349,7351.532
CAF,0,0,0,0,0,0,0,0,7721.303,7658.886,7451.108,7393.275
CAN,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514
CCK,0,0,0,0,0,0,0,0,14386.18,15036.29,.,.
CHE,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709
CHL,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132
CHN,0,0,0,0,0,0,0,0,17614.3,16948.04,17235.78,17182.31
CIV,0,0,0,0,0,0,0,0,5630.741,5328.784,5234.485,5127.833
CMR,0,0,0,0,0,0,0,0,6997.694,6895.957,6782.752,6706.325
COG,0,0,0,0,0,0,0,0,6964.051,7014.479,6654.866,6599.534
COK,0,0,0,0,0,0,0,0,11245.72,11534.05,11681.84,11640.54
COL,1,0,0,0,0,0,0,0,4399.134,3756.413,4305.874,4157.855
COM,0,0,0,0,0,0,0,0,9491.185,9789.61,9483.201,9455.361
CPV,0,1,1,0,0,0,0,0,4964.447,4344.567,4457.277,4260.994
CRI,0,0,0,0,0,0,0,0,5523.376,4908.824,5368.428,5275.892
CUB,0,0,0,0,0,0,0,0,6475.084,5731.499,5887.786,5766.812
CXR,0,0,0,0,0,0,0,0,15203.27,15917.27,.,.
CYM,0,0,0,0,0,0,0,0,6079.042,5354.512,5796.001,5695.615
CYP,0,0,0,0,0,0,0,0,10651.9,10252.95,10152.48,10092.18
CZE,0,0,0,0,0,0,0,0,10155.45,9519.683,9621.807,9539.765
DEU,0,0,0,0,0,0,0,0,9847.663,9601.955,9395.881,9306.738
DJI,0,0,0,0,0,0,0,0,10507.34,10477.24,10222.81,10186.54
DMA,0,0,0,0,0,0,0,0,4610.269,3762.862,4193.616,4007.497
DNK,0,0,0,0,0,0,0,0,10431.67,9744.198,9776.487,9692.323
DOM,0,0,0,0,0,0,0,0,5311.118,4505.733,4981.976,4840.746
DZA,0,0,0,0,0,0,0,0,8497.729,7922.073,7899.319,7797.459
ECU,0,0,0,0,0,0,0,0,4309.081,3779.018,4265.742,4164.416
EGY,0,0,0,0,0,0,0,0,10229.25,9886.343,9757.794,9698.816
ERI,0,0,0,0,0,0,0,0,10249.1,10144.46,9962.443,9920.329
ESH,0,0,0,0,0,0,0,0,6690.136,6075.306,6052.875,5914.178
ESP,0,0,0,0,0,0,0,0,8389.78,7743.538,7821.086,7696.928
EST,0,0,0,0,0,0,0,0,11266.82,10580.03,10686.63,10610.39
ETH,0,0,0,0,0,0,0,0,9960.68,9945.43,9708.323,9669.018
FIN,0,0,0,0,0,0,0,0,11316.05,10623.64,10748.92,10671.33
FJI,0,0,0,0,0,0,0,0,13292.46,13706.86,13803.8,13764.34
FLK,0,0,0,0,0,0,0,0,3278.993,4094.185,3931.429,3745.797
FRA,0,0,0,0,0,0,0,0,9408.406,8732.79,8681.18,8584.978
FRO,0,0,0,0,0,0,0,0,10159.41,9378.91,9541.18,9451.155
FSM,0,0,0,0,0,0,0,0,16795.19,17017.51,17573.55,17536.91
GAB,0,0,0,0,0,0,0,0,6608.553,6547.037,6379.831,6317.45
GBR,0,0,0,0,0,0,0,0,9501.71,8797.828,8931.505,8837.089
GEO,0,0,0,0,0,0,0,0,11846.24,11399.65,11252.82,11194.32
GHA,0,0,0,0,0,0,0,0,5985.302,5762.07,5625.956,5532.325
GIB,0,0,0,0,0,0,0,0,7932.598,7308.174,7357.446,7249.473
GIN,0,0,0,0,0,0,0,0,4984.344,4529.304,4763.165,4612.971
GLP,0,0,0,0,0,0,0,0,4696.415,3849.284,4287.204,4105.858
GMB,0,0,0,0,0,0,0,0,5253.954,4736.056,4756.714,4594.098
GNB,0,1,0,0,0,0,0,0,5185.861,4700.164,4699.388,4540.15
GNQ,0,0,0,0,0,0,0,0,6729.316,6609.445,6437.771,6373.108
GRC,0,0,0,0,0,0,0,0,10036.02,9561.282,9513.084,9441.966
GRD,0,0,0,0,0,0,0,0,4289.566,3453.023,3898.962,3695.028
GRL,0,0,0,0,0,0,0,0,9772.524,8905.894,9421.524,9310.919
GTM,0,0,0,0,0,0,0,0,6390.672,5779.934,6234.895,6159.761
GUF,1,0,0,0,0,0,0,0,3227.929,2356.327,2812.623,2502.227
GUY,1,0,0,0,0,0,0,0,3597.721,2752.313,3185.541,2913.655
HKG,0,0,0,0,0,0,0,0,18059.72,18014.9,17662.09,17640.48
HND,0,0,0,0,0,0,0,0,6086.675,5455.174,5985.354,5901.361
HRV,0,0,0,0,0,0,0,0,9966.041,9375.362,9381.166,9300.187
HTI,0,0,0,0,0,0,0,0,5452.449,4664.838,5123.111,4991.032
HUN,0,0,0,0,0,0,0,0,10267.27,9672.754,9695.744,9617.008
IDN,0,0,0,0,0,0,0,0,15644.48,16326.22,16024.37,15994.88
IND,0,0,0,0,0,0,0,0,14441.49,14251.55,13949.72,13908.2
IRL,0,0,0,0,0,0,0,0,9398.416,8659.942,8739.151,8641.501
IRN,0,0,0,0,0,0,0,0,12210.63,11863.16,11728.98,11672.9
IRQ,0,0,0,0,0,0,0,0,11520.45,11186.05,11092.52,11041.13
ISL,0,0,0,0,0,0,0,0,9991.34,9169.045,9397.482,9304.897
ISR,0,0,0,0,0,0,0,0,10629.06,10275.35,10172.16,10115.31
ITA,0,0,0,0,0,0,0,0,9482.516,8913.18,8940.465,8855.038
JAM,0,0,0,0,0,0,0,0,5663.679,4913.289,5380.242,5264.128
