Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,357805599,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,1393,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,16373304,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,40,Austria,AUT,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,800,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,25000,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,4675287,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,144,Sri Lanka,LKA,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,46930,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,4601942,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,170,Colombia,COL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,10186971,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,214,Dominican Rep.,DOM,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,1231934,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,218,Ecuador,ECU,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,13896894,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,231,Ethiopia,ETH,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,502828,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,12327,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,246490,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,10853,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,368,Iraq,IRQ,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,39462995,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,400,Jordan,JOR,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,27483154,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,31889403,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,450,Madagascar,MDG,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,192357,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,447031,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,9939,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,512,Oman,OMN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,21195,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,7118,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,600,Paraguay,PRY,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,7293710,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,604,Peru,PER,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,9887498,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,686,Senegal,SEN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,216093,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,358301,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,1654859,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,146057625,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,818,Egypt,EGY,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,28987134,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,150,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,5450676,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,858,Uruguay,URY,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,2489340,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,862,Venezuela,VEN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,4084068,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,623543733,,,4
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,16693135,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,44,Bahamas,BHS,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,580,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,102450,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,7456885,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,144,Sri Lanka,LKA,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,15078,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,5087397,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,170,Colombia,COL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,10297840,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,196,Cyprus,CYP,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,89,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,214,Dominican Rep.,DOM,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,1294152,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,218,Ecuador,ECU,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,16650611,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,231,Ethiopia,ETH,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,584626,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,74,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,705745,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,368,Iraq,IRQ,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,29472647,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,241,,,4
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,400,Jordan,JOR,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,24000488,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,31,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,45714062,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,450,Madagascar,MDG,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,102156,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,470,Malta,MLT,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,215,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,16765,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,512,Oman,OMN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,120,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,18000,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,579,Norway,NOR,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,518,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,584,Marshall Isds,MHL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,732,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,591,Panama,PAN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,610,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,600,Paraguay,PRY,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,9162244,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,604,Peru,PER,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,10956814,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,608,Philippines,PHL,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,8414,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,620,Portugal,PRT,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,6606,,,4
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,686,Senegal,SEN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,385228,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,197281,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,4500,,,4
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,710,South Africa,ZAF,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,723018,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,20,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,216200,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,380350142,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,818,Egypt,EGY,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,54274949,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,45,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,4998269,,,4
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,858,Uruguay,URY,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,1612003,,,0
H5,2018,2018,2018,2,0,2,Export,76,Brazil,BRA,862,Venezuela,VEN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,2432753,,,0
H5,2017,2017,2017,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,13953388271,,,0
