Year,Country Code,Commodity Code,Trade Value (US$)
1996,SVN,9,63737128
1996,HKG,6,4831
1996,GRC,6,14002
1996,DEU,6,443030
1996,FRA,6,9782
1996,FIN,6,703
1996,DNK,6,55486
1996,CHN,6,15270
1996,HUN,6,575
1996,CHL,6,80648
1996,BOL,6,30640
1996,BEL,6,18294
1996,AUS,6,38199
1996,ARG,6,305644
1996,AGO,6,1958
1996,WLD,6,11855306
1996,,5,912
1996,CAN,6,76006
1996,URY,5,154139
1996,IDN,6,1402
1996,ITA,6,1734598
1996,USA,6,528465
1996,GBR,6,14343
1996,CHE,6,43390
1996,ESP,6,248998
1996,ZAF,6,2864
1996,SGP,6,605
1996,PRT,6,80742
1996,ISR,6,11903
1996,NCL,6,609
1996,NLD,6,7037656
1996,,6,30947
1996,MEX,6,64178
1996,MYS,6,1856
1996,KOR,6,17384
1996,JPN,6,590369
1996,CIV,6,2977
1996,ABW,6,6439
1996,URY,6,338922
1996,USA,5,2177027
1996,TUR,5,12600
1996,KOR,5,282500
1996,JPN,5,3550864
1996,ITA,5,11425115
1996,ISR,5,5572
1996,HKG,5,10897534
1996,GRC,5,11790
1996,DEU,5,15393812
1996,LBR,5,14689
1996,GAB,5,29360
1996,ECU,5,19738
1996,DNK,5,27957
1996,CZE,5,11745
1996,COL,5,266576
1996,CHN,5,198770
1996,CHL,5,17279
1996,CAN,5,33929
1996,FRA,5,6664340
1996,GBR,5,686376
1996,MAC,5,1739
1996,,5,7555
1996,THA,5,6000
1996,CHE,5,4266017
1996,SWE,5,695434
1996,ESP,5,5948755
1996,SGP,5,7313
1996,SLE,5,13635
1996,SEN,5,13725
1996,MEX,5,300273
1996,SAU,5,51692
1996,PER,5,461926
1996,PRY,5,244905
1996,NGA,5,57531
1996,NZL,5,29350
1996,ANT,5,4833
1996,NLD,5,1057999
1996,MAR,5,118154
1996,PRT,5,1311824
1996,,6,1591
1996,WLD,7,12402719
1996,AGO,7,297368
1996,ZWE,8,7375
1996,ZAF,8,920322
1996,SGP,8,90432
1996,SAU,8,384814
1996,RUS,8,1080335
1996,PRT,8,2683398
1996,PRY,8,138682
1996,ESP,8,2846131
1996,NOR,8,67300
1996,NLD,8,54553976
1996,MEX,8,935458
1996,MYS,8,17332
1996,LTU,8,345149
1996,LBN,8,2050098
1996,JPN,8,1110875
1996,ITA,8,4537376
1996,NZL,8,20988
1996,IDN,8,82139
1996,SWE,8,92892
1996,ARE,8,1577531
1996,BGR,9,112895
1996,BOL,9,831347
1996,BEL,9,93709360
1996,ARM,9,70656
1996,AUT,9,25444160
1996,AUS,9,7945190
1996,ARG,9,82090416
1996,CHE,8,705294
1996,AGO,9,18390
1996,AFG,9,98610
1996,WLD,9,1829605760
1996,,8,5318
1996,VEN,8,53475
1996,URY,8,3354555
1996,USA,8,144667440
1996,GBR,8,25245716
1996,DZA,9,502105
1996,HKG,8,328193
1996,DEU,8,5854079
1996,FRA,8,4501038
1996,ESP,7,8449
1996,ZAF,7,616104
1996,PRT,7,9912
1996,PER,7,1343
1996,PRY,7,74592
1996,PAN,7,336199
1996,NLD,7,1172136
1996,THA,7,18000
1996,KOR,7,8000
1996,DEU,7,1169368
1996,FRA,7,136100
1996,COL,7,19600
1996,CHL,7,248528
1996,CAN,7,138223
1996,BOL,7,3459
1996,ARG,7,4859445
1996,JPN,7,1401985
1996,GBR,7,630333
1996,USA,7,500909
1996,URY,7,732903
1996,FIN,8,4085045
1996,DOM,8,43199
1996,DNK,8,199421
1996,CYP,8,185033
1996,COL,8,71983
1996,CHL,8,81694
1996,CPV,8,2232
1996,CAN,8,18297960
1996,BOL,8,1283
1996,BEL,8,387424
1996,AUT,8,38441
1996,AUS,8,1259459
1996,ARG,8,13425414
1996,AGO,8,1496
1996,WLD,8,296337792
1996,,7,4703
1996,VEN,7,15060
1996,BOL,5,4181
1996,CAN,9,22032042
1996,BEL,5,551387
1996,AUS,5,860
1996,CIV,2,394834
1996,ITA,2,69347528
1996,ISR,2,3266734
1996,IRL,2,2792460
1996,IRN,2,9952283
1996,HKG,2,111976968
1996,GIN,2,57449
1996,JPN,2,228603872
1996,GRC,2,3141168
1996,GHA,2,98662
1996,DEU,2,72042288
1996,GMB,2,26399
1996,GAB,2,57973
1996,FRA,2,2746179
1996,FIN,2,2771038
1996,DNK,2,11836
1996,GIB,2,1206175
1996,CZE,2,566338
1996,JOR,2,1254339
1996,LBN,2,610052
1996,GNB,2,25225
1996,PRT,2,6777320
1996,POL,2,103067
1996,PHL,2,10320
1996,PER,2,481513
1996,PRY,2,1290690
1996,PAN,2,233076
1996,KOR,2,334250
1996,NGA,2,123070
1996,ABW,2,654964
1996,ANT,2,3441818
1996,NLD,2,91780048
1996,OMN,2,8343141
1996,MAR,2,1022997
1996,MRT,2,404531
1996,MAC,2,82389
1996,NZL,2,1072
1996,QAT,2,15557756
1996,CYP,2,69231
1996,HRV,2,36746632
1996,PER,1,377793
1996,PRY,1,2166732
1996,NLD,1,7759
1996,MYS,1,153640
1996,JPN,1,1800
1996,DEU,1,75399
1996,FRA,1,5000
1996,PRT,1,6000
1996,ECU,1,128785
1996,CHL,1,739571
1996,BOL,1,594379
1996,BEL,1,4500
1996,AUT,1,2500
1996,ARG,1,542593
1996,AGO,1,4000
1996,WLD,1,5841439
1996,COL,1,575000
1996,CUB,2,2827113
1996,ESP,1,15500
1996,USA,1,106971
1996,COD,2,525269
1996,CHN,2,2985258
1996,CHL,2,44000
1996,BGR,2,236729
1996,VGB,2,16501
1996,BOL,2,530694
1996,BEL,2,6826925
