,Country Name,Country Code,Year,PIB_(1000_US$)
1,Afghanistan,AFG,1960,537777.8111111111
11,Australia,AUS,1960,18577668.2719229
12,Austria,AUT,1960,6592693.8411849495
14,Burundi,BDI,1960,195999.99
15,Belgium,BEL,1960,11658722.59099
16,Benin,BEN,1960,226195.57935701002
17,Burkina Faso,BFA,1960,330442.817168859
18,Bangladesh,BGD,1960,4274893.91349536
21,"Bahamas, The",BHS,1960,169803.921568627
24,Belize,BLZ,1960,28071.888562228803
25,Bermuda,BMU,1960,84466.6540801544
26,Bolivia,BOL,1960,373879.363595386
27,Brazil,BRA,1960,15165569.9125199
31,Botswana,BWA,1960,30412.308986401196
32,Central African Republic,CAF,1960,112155.598949571
33,Canada,CAN,1960,40461721.692646794
35,Switzerland,CHE,1960,9522746.71921614
37,Chile,CHL,1960,4110000.0
38,China,CHN,1960,59716467.625314794
39,Cote d'Ivoire,CIV,1960,546203.561571989
40,Cameroon,CMR,1960,618740.988011405
41,"Congo, Dem. Rep.",COD,1960,3359404.11764706
42,"Congo, Rep.",COG,1960,131731.862568975
43,Colombia,COL,1960,4031152.97663904
46,Costa Rica,CRI,1960,507513.829994855
47,Caribbean small states,CSS,1960,1875461.5829997398
57,Dominican Republic,DOM,1960,672399.7
58,Algeria,DZA,1960,2723648.5517520797
59,East Asia & Pacific (excluding high income),EAP,1960,80254555.6401302
60,Early-demographic dividend,EAR,1960,152712775.15060002
61,East Asia & Pacific,EAS,1960,153259220.24699697
64,Ecuador,ECU,1960,2069465.3264188198
66,Euro area,EMU,1960,244895743.150193
68,Spain,ESP,1960,12072126.075397
71,European Union,EUU,1960,364448431.69740206
73,Finland,FIN,1960,5224102.19552771
74,Fiji,FJI,1960,112328.422113084
75,France,FRA,1960,62225478.0008822
78,Gabon,GAB,1960,141468.977570007
79,United Kingdom,GBR,1960,73233967.6921028
81,Ghana,GHA,1960,1217230.03826781
87,Greece,GRC,1960,4335186.01683942
90,Guatemala,GTM,1960,1043599.9
92,Guyana,GUY,1960,170215.248206265
93,High income,HIC,1960,1061959044.40885
94,"Hong Kong SAR, China",HKG,1960,1320796.6516945697
95,Honduras,HND,1960,335650.0
96,Heavily indebted poor countries (HIPC),HPC,1960,17337743.8822725
98,Haiti,HTI,1960,273187.2
100,IBRD only,IBD,1960,307263227.137194
101,IDA & IBRD total,IBT,1960,344257550.559094
102,IDA total,IDA,1960,38086918.428480595
103,IDA blend,IDB,1960,12276346.5236472
105,IDA only,IDX,1960,26691452.398803502
