"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H0","048","Bahrain","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",1999,1999,"WTO","AHS",5,5,0,5,5,7,0,0,14798.621,
"HS","H0","048","Bahrain","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",2000,2000,"WTO","AHS",5,5,0,5,5,7,0,0,14192.011,
"HS","H0","048","Bahrain","07","EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS","076","Brazil",1999,1999,"WTO","AHS",3.33,3.33,2.36,0,5,3,0,0,0.359,
"HS","H0","048","Bahrain","07","EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS","076","Brazil",2000,2000,"WTO","AHS",7,7,0,7,7,1,0,0,0.638,
"HS","H0","048","Bahrain","08","EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MEL","076","Brazil",1999,1999,"WTO","AHS",5,5,0,5,5,9,0,0,90.291,
"HS","H0","048","Bahrain","08","EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MEL","076","Brazil",2000,2000,"WTO","AHS",7,7,0,7,7,4,0,0,60.743,
"HS","H0","048","Bahrain","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",1999,1999,"WTO","AHS",5,5,0,5,5,3,0,0,11.532,
"HS","H0","048","Bahrain","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",2000,2000,"WTO","AHS",5,5,0,5,5,1,0,0,24.303,
"HS","H0","048","Bahrain","15","ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVA","076","Brazil",1999,1999,"WTO","AHS",5,5,0,5,5,1,0,0,15.21,
"HS","H0","052","Barbados","08","EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MEL","076","Brazil",1999,1999,"WTO","AHS",40,40,0,40,40,5,5,5,1.472,
"HS","H0","052","Barbados","11","PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; ","076","Brazil",1999,1999,"WTO","AHS",5,5,0,5,5,1,0,0,22.487,
"HS","H0","084","Belize","12","OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRA","076","Brazil",1996,1996,"","AHS",0,,0,0,0,1,0,0,,
"HS","H0","188","Costa Rica","06","LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE ","076","Brazil",1996,1996,"WTO","AHS",19,19,0,19,19,3,0,3,0.259,
"HS","H0","188","Costa Rica","07","EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS","076","Brazil",1996,1996,"WTO","AHS",14,14,0,14,14,2,0,0,0.19,
"HS","H0","188","Costa Rica","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",1996,1996,"WTO","AHS",9,9,0,9,9,3,0,0,53.476,
"HS","H0","188","Costa Rica","11","PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; ","076","Brazil",1996,1996,"WTO","AHS",14,14,0,14,14,1,0,0,0.053,
"HS","H0","188","Costa Rica","12","OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRA","076","Brazil",1996,1996,"WTO","AHS",5,5,0,5,5,4,0,0,373.586,
"HS","H0","188","Costa Rica","13","LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXT","076","Brazil",1996,1996,"WTO","AHS",4.33,4.01,1.73,1,5,4,0,0,78.887,
"HS","H0","188","Costa Rica","15","ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVA","076","Brazil",1996,1996,"WTO","AHS",9.5,5,5.89,5,19,3,0,1,171.155,
"HS","H0","222","El Salvador","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",1996,1996,"WTO","AHS",20,20,0,20,20,1,0,1,209.731,
"HS","H0","222","El Salvador","13","LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXT","076","Brazil",1996,1996,"WTO","AHS",1,1,0,1,1,3,0,0,8.583,
"HS","H0","222","El Salvador","15","ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVA","076","Brazil",1996,1996,"WTO","AHS",10,10,5,5,15,2,0,0,221.784,
"HS","H0","262","Djibouti","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",1998,2009,"","AHS",20,,0,20,20,2,0,2,,
"HS","H0","262","Djibouti","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",1999,2009,"","AHS",20,,0,20,20,2,0,2,,
"HS","H0","262","Djibouti","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",2002,2009,"","AHS",20,,0,20,20,2,0,2,,
"HS","H0","262","Djibouti","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",2005,2009,"","AHS",20,,0,20,20,2,0,2,,
"HS","H0","262","Djibouti","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",2006,2009,"","AHS",20,,0,20,20,2,0,2,,
"HS","H0","262","Djibouti","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",1998,2009,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","262","Djibouti","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",1999,2009,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","262","Djibouti","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",2002,2009,"","AHS",20,,0,20,20,1,0,1,,
"HS","H0","262","Djibouti","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",2005,2009,"","AHS",8,,0,8,8,1,0,0,,
"HS","H0","262","Djibouti","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",2006,2009,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","262","Djibouti","10","CEREALS","076","Brazil",1998,2009,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","262","Djibouti","10","CEREALS","076","Brazil",1999,2009,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","262","Djibouti","10","CEREALS","076","Brazil",2002,2009,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","262","Djibouti","10","CEREALS","076","Brazil",2005,2009,"","AHS",8,,0,8,8,1,0,0,,
"HS","H0","262","Djibouti","10","CEREALS","076","Brazil",2006,2009,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","266","Gabon","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",1998,1998,"","AHS",20,,0,20,20,9,0,9,,
"HS","H0","266","Gabon","05","PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED","076","Brazil",1998,1998,"","AHS",30,,0,30,30,1,0,1,,
"HS","H0","266","Gabon","08","EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MEL","076","Brazil",1998,1998,"","AHS",30,,0,30,30,1,0,1,,
"HS","H0","266","Gabon","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",1998,1998,"","AHS",29.58,,6.76,5,30,63,0,58,,
"HS","H0","266","Gabon","10","CEREALS","076","Brazil",1998,1998,"","AHS",20,,0,20,20,2,0,2,,
"HS","H0","266","Gabon","15","ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVA","076","Brazil",1998,1998,"","AHS",30,,0,30,30,1,0,1,,
"HS","H0","270","Gambia, The","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",2007,2007,"","AHS",20,,0,20,20,7,0,6,,
"HS","H0","270","Gambia, The","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",2008,2008,"","AHS",20,,0,20,20,6,0,6,,
"HS","H0","270","Gambia, The","02","MEAT AND EDIBLE MEAT OFFAL","076","Brazil",2009,2009,"","AHS",20,,0,20,20,12,0,11,,
"HS","H0","270","Gambia, The","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",2003,2003,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","270","Gambia, The","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",2007,2007,"","AHS",11,,7.35,5,20,5,0,2,,
"HS","H0","270","Gambia, The","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",2008,2008,"","AHS",5,,0,5,5,2,0,0,,
"HS","H0","270","Gambia, The","04","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE ","076","Brazil",2009,2009,"","AHS",8,,6,5,20,5,0,1,,
"HS","H0","270","Gambia, The","06","LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE ","076","Brazil",2007,2007,"","AHS",20,,0,20,20,1,0,1,,
"HS","H0","270","Gambia, The","07","EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS","076","Brazil",2003,2003,"","AHS",18,,0,18,18,1,0,1,,
"HS","H0","270","Gambia, The","08","EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MEL","076","Brazil",2003,2003,"","AHS",18,,0,18,18,1,0,1,,
"HS","H0","270","Gambia, The","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",2003,2003,"","AHS",18,,0,18,18,1,0,1,,
"HS","H0","270","Gambia, The","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",2007,2007,"","AHS",20,,0,20,20,2,0,2,,
"HS","H0","270","Gambia, The","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",2008,2008,"","AHS",20,,0,20,20,2,0,2,,
"HS","H0","270","Gambia, The","09","COFFEE, TEA, MATÉ AND SPICES","076","Brazil",2009,2009,"","AHS",20,,0,20,20,3,0,3,,
"HS","H0","270","Gambia, The","10","CEREALS","076","Brazil",2003,2003,"","AHS",0,,0,0,0,1,0,0,,
"HS","H0","270","Gambia, The","10","CEREALS","076","Brazil",2007,2007,"","AHS",0,,0,0,0,3,0,0,,
"HS","H0","270","Gambia, The","10","CEREALS","076","Brazil",2008,2008,"","AHS",4,,8,0,20,5,0,1,,
"HS","H0","270","Gambia, The","10","CEREALS","076","Brazil",2009,2009,"","AHS",0,,0,0,0,2,0,0,,
"HS","H0","270","Gambia, The","11","PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; ","076","Brazil",2003,2003,"","AHS",10,,0,10,10,1,0,0,,
"HS","H0","270","Gambia, The","11","PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; ","076","Brazil",2008,2008,"","AHS",20,,0,20,20,1,0,1,,
"HS","H0","270","Gambia, The","11","PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; ","076","Brazil",2009,2009,"","AHS",5,,0,5,5,1,0,0,,
"HS","H0","270","Gambia, The","15","ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVA","076","Brazil",2003,2003,"","AHS",5,,0,5,5,1,0,0,,
