,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD
0,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,1,0.0,0.0,585.559
1,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,2,0.0,0.0,101161.93
2,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,3,0.0,0.0,2992.493
3,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,4,0.0,0.0,3584.473
4,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,5,0.0,0.0,68.207
5,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,6,0.0,0.0,352.836
6,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,7,0.0,0.0,5395.49
7,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,8,0.0,0.0,14629.301
8,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,9,0.0,0.0,88655.845
9,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,10,0.0,0.0,8472.815
10,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,11,0.0,0.0,2702.363
11,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,12,0.0,0.0,567.552
12,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,13,0.0,0.0,1934.46
13,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,14,0.0,0.0,4.753
14,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,15,0.0,0.0,11829.665
15,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,3,0.0,0.0,123.699
16,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,6,0.0,0.0,36.999
17,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,8,0.0,0.0,1647.629
18,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,9,0.0,0.0,9704.558
19,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,10,0.0,0.0,657.347
20,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,11,2.0,0.28,8.345
21,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,12,0.0,0.0,198.042
22,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,13,1.0,1.74,25.739
23,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,15,0.0,0.0,316.573
24,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,1,9.5,9.86,345.2480000000001
25,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,2,10.0,10.0,5.078
26,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,3,10.0,10.0,1.345
27,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,4,10.0,10.0,19.243
28,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,5,10.0,10.0,4.7410000000000005
29,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,6,10.0,10.0,254.833
30,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,9,10.0,10.0,14.163
31,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,10,10.0,10.0,889.008
32,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,11,10.0,10.0,318.711
33,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,12,10.0,10.0,39.87
34,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,13,10.0,10.0,20.632
35,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,14,10.0,10.0,134.817
36,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.6889999999999,2388.9,2266.878,15,10.0,10.0,100.209
37,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,1,0.0,0.0,127.116
38,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,3,0.69,0.17,381.287
39,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,4,11.0,11.0,0.116
40,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514,5,0.0,0.0,120.082
