Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,6860925,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,01,Live animals,1,No Quantity,,,,,,,11050,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1650353,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,40,Austria,AUT,,,,,,,,01,Live animals,1,No Quantity,,,,,,,18100,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,58,Belgium-Luxembourg,BEL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,7000,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,865730,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1426,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,132,Cabo Verde,CPV,,,,,,,,01,Live animals,1,No Quantity,,,,,,,1572,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,152,Chile,CHL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,768803,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,170,Colombia,COL,,,,,,,,01,Live animals,1,No Quantity,,,,,,,29000,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,218,Ecuador,ECU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,59132,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,251,France,FRA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,2000,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,276,Germany,DEU,,,,,,,,01,Live animals,1,No Quantity,,,,,,,15000,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,288,Ghana,GHA,,,,,,,,01,Live animals,1,No Quantity,,,,,,,72720,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,,,,,,,,01,Live animals,1,No Quantity,,,,,,,7000,,,0
H1,1997,1997,1997,2,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,,,,,,,,01,Live animals,1,No Quantity,,,,,,,4500,,,0
