Year,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
1996,Slovenia,SVN,9,"Coffee, tea, mate and spices",63737128
1996,"China, Hong Kong SAR",HKG,6,"Live trees, plants, bulbs, roots, cut flowers etc",4831
1996,Greece,GRC,6,"Live trees, plants, bulbs, roots, cut flowers etc",14002
1996,Germany,DEU,6,"Live trees, plants, bulbs, roots, cut flowers etc",443030
1996,France,FRA,6,"Live trees, plants, bulbs, roots, cut flowers etc",9782
1996,Finland,FIN,6,"Live trees, plants, bulbs, roots, cut flowers etc",703
1996,Denmark,DNK,6,"Live trees, plants, bulbs, roots, cut flowers etc",55486
1996,China,CHN,6,"Live trees, plants, bulbs, roots, cut flowers etc",15270
1996,Hungary,HUN,6,"Live trees, plants, bulbs, roots, cut flowers etc",575
1996,Chile,CHL,6,"Live trees, plants, bulbs, roots, cut flowers etc",80648
1996,Bolivia (Plurinational State of),BOL,6,"Live trees, plants, bulbs, roots, cut flowers etc",30640
1996,Belgium-Luxembourg,BEL,6,"Live trees, plants, bulbs, roots, cut flowers etc",18294
1996,Australia,AUS,6,"Live trees, plants, bulbs, roots, cut flowers etc",38199
1996,Argentina,ARG,6,"Live trees, plants, bulbs, roots, cut flowers etc",305644
1996,Angola,AGO,6,"Live trees, plants, bulbs, roots, cut flowers etc",1958
1996,World,WLD,6,"Live trees, plants, bulbs, roots, cut flowers etc",11855306
1996,"Areas, nes",,5,"Products of animal origin, nes",912
1996,Canada,CAN,6,"Live trees, plants, bulbs, roots, cut flowers etc",76006
1996,Uruguay,URY,5,"Products of animal origin, nes",154139
1996,Indonesia,IDN,6,"Live trees, plants, bulbs, roots, cut flowers etc",1402
1996,Italy,ITA,6,"Live trees, plants, bulbs, roots, cut flowers etc",1734598
1996,USA,USA,6,"Live trees, plants, bulbs, roots, cut flowers etc",528465
1996,United Kingdom,GBR,6,"Live trees, plants, bulbs, roots, cut flowers etc",14343
1996,Switzerland,CHE,6,"Live trees, plants, bulbs, roots, cut flowers etc",43390
1996,Spain,ESP,6,"Live trees, plants, bulbs, roots, cut flowers etc",248998
1996,So. African Customs Union,ZAF,6,"Live trees, plants, bulbs, roots, cut flowers etc",2864
1996,Singapore,SGP,6,"Live trees, plants, bulbs, roots, cut flowers etc",605
1996,Portugal,PRT,6,"Live trees, plants, bulbs, roots, cut flowers etc",80742
1996,Israel,ISR,6,"Live trees, plants, bulbs, roots, cut flowers etc",11903
1996,New Caledonia,NCL,6,"Live trees, plants, bulbs, roots, cut flowers etc",609
1996,Netherlands,NLD,6,"Live trees, plants, bulbs, roots, cut flowers etc",7037656
1996,"Other Asia, nes",,6,"Live trees, plants, bulbs, roots, cut flowers etc",30947
1996,Mexico,MEX,6,"Live trees, plants, bulbs, roots, cut flowers etc",64178
1996,Malaysia,MYS,6,"Live trees, plants, bulbs, roots, cut flowers etc",1856
1996,Rep. of Korea,KOR,6,"Live trees, plants, bulbs, roots, cut flowers etc",17384
1996,Japan,JPN,6,"Live trees, plants, bulbs, roots, cut flowers etc",590369
1996,Côte d'Ivoire,CIV,6,"Live trees, plants, bulbs, roots, cut flowers etc",2977
1996,Aruba,ABW,6,"Live trees, plants, bulbs, roots, cut flowers etc",6439
1996,Uruguay,URY,6,"Live trees, plants, bulbs, roots, cut flowers etc",338922
1996,USA,USA,5,"Products of animal origin, nes",2177027
1996,Turkey,TUR,5,"Products of animal origin, nes",12600
1996,Rep. of Korea,KOR,5,"Products of animal origin, nes",282500
1996,Japan,JPN,5,"Products of animal origin, nes",3550864
1996,Italy,ITA,5,"Products of animal origin, nes",11425115
1996,Israel,ISR,5,"Products of animal origin, nes",5572
1996,"China, Hong Kong SAR",HKG,5,"Products of animal origin, nes",10897534
1996,Greece,GRC,5,"Products of animal origin, nes",11790
1996,Germany,DEU,5,"Products of animal origin, nes",15393812
1996,Liberia,LBR,5,"Products of animal origin, nes",14689
1996,Gabon,GAB,5,"Products of animal origin, nes",29360
1996,Ecuador,ECU,5,"Products of animal origin, nes",19738
1996,Denmark,DNK,5,"Products of animal origin, nes",27957
1996,Czechia,CZE,5,"Products of animal origin, nes",11745
1996,Colombia,COL,5,"Products of animal origin, nes",266576
1996,China,CHN,5,"Products of animal origin, nes",198770
1996,Chile,CHL,5,"Products of animal origin, nes",17279
1996,Canada,CAN,5,"Products of animal origin, nes",33929
1996,France,FRA,5,"Products of animal origin, nes",6664340
1996,United Kingdom,GBR,5,"Products of animal origin, nes",686376
1996,"China, Macao SAR",MAC,5,"Products of animal origin, nes",1739
1996,"Other Asia, nes",,5,"Products of animal origin, nes",7555
1996,Thailand,THA,5,"Products of animal origin, nes",6000
1996,Switzerland,CHE,5,"Products of animal origin, nes",4266017
1996,Sweden,SWE,5,"Products of animal origin, nes",695434
1996,Spain,ESP,5,"Products of animal origin, nes",5948755
1996,Singapore,SGP,5,"Products of animal origin, nes",7313
1996,Sierra Leone,SLE,5,"Products of animal origin, nes",13635
1996,Senegal,SEN,5,"Products of animal origin, nes",13725
1996,Mexico,MEX,5,"Products of animal origin, nes",300273
1996,Saudi Arabia,SAU,5,"Products of animal origin, nes",51692
1996,Peru,PER,5,"Products of animal origin, nes",461926
1996,Paraguay,PRY,5,"Products of animal origin, nes",244905
1996,Nigeria,NGA,5,"Products of animal origin, nes",57531
1996,New Zealand,NZL,5,"Products of animal origin, nes",29350
1996,Neth. Antilles,ANT,5,"Products of animal origin, nes",4833
1996,Netherlands,NLD,5,"Products of animal origin, nes",1057999
1996,Morocco,MAR,5,"Products of animal origin, nes",118154
1996,Portugal,PRT,5,"Products of animal origin, nes",1311824
1996,"Areas, nes",,6,"Live trees, plants, bulbs, roots, cut flowers etc",1591
1996,World,WLD,7,Edible vegetables and certain roots and tubers,12402719
1996,Angola,AGO,7,Edible vegetables and certain roots and tubers,297368
1996,Zimbabwe,ZWE,8,"Edible fruit, nuts, peel of citrus fruit, melons",7375
1996,So. African Customs Union,ZAF,8,"Edible fruit, nuts, peel of citrus fruit, melons",920322
1996,Singapore,SGP,8,"Edible fruit, nuts, peel of citrus fruit, melons",90432
1996,Saudi Arabia,SAU,8,"Edible fruit, nuts, peel of citrus fruit, melons",384814
1996,Russian Federation,RUS,8,"Edible fruit, nuts, peel of citrus fruit, melons",1080335
1996,Portugal,PRT,8,"Edible fruit, nuts, peel of citrus fruit, melons",2683398
1996,Paraguay,PRY,8,"Edible fruit, nuts, peel of citrus fruit, melons",138682
1996,Spain,ESP,8,"Edible fruit, nuts, peel of citrus fruit, melons",2846131
1996,Norway,NOR,8,"Edible fruit, nuts, peel of citrus fruit, melons",67300
1996,Netherlands,NLD,8,"Edible fruit, nuts, peel of citrus fruit, melons",54553976
1996,Mexico,MEX,8,"Edible fruit, nuts, peel of citrus fruit, melons",935458
1996,Malaysia,MYS,8,"Edible fruit, nuts, peel of citrus fruit, melons",17332
1996,Lithuania,LTU,8,"Edible fruit, nuts, peel of citrus fruit, melons",345149
1996,Lebanon,LBN,8,"Edible fruit, nuts, peel of citrus fruit, melons",2050098
1996,Japan,JPN,8,"Edible fruit, nuts, peel of citrus fruit, melons",1110875
1996,Italy,ITA,8,"Edible fruit, nuts, peel of citrus fruit, melons",4537376
1996,New Zealand,NZL,8,"Edible fruit, nuts, peel of citrus fruit, melons",20988
1996,Indonesia,IDN,8,"Edible fruit, nuts, peel of citrus fruit, melons",82139
1996,Sweden,SWE,8,"Edible fruit, nuts, peel of citrus fruit, melons",92892
1996,United Arab Emirates,ARE,8,"Edible fruit, nuts, peel of citrus fruit, melons",1577531
1996,Bulgaria,BGR,9,"Coffee, tea, mate and spices",112895
1996,Bolivia (Plurinational State of),BOL,9,"Coffee, tea, mate and spices",831347
1996,Belgium-Luxembourg,BEL,9,"Coffee, tea, mate and spices",93709360
1996,Armenia,ARM,9,"Coffee, tea, mate and spices",70656
1996,Austria,AUT,9,"Coffee, tea, mate and spices",25444160
1996,Australia,AUS,9,"Coffee, tea, mate and spices",7945190
1996,Argentina,ARG,9,"Coffee, tea, mate and spices",82090416
1996,Switzerland,CHE,8,"Edible fruit, nuts, peel of citrus fruit, melons",705294
1996,Angola,AGO,9,"Coffee, tea, mate and spices",18390
1996,Afghanistan,AFG,9,"Coffee, tea, mate and spices",98610
1996,World,WLD,9,"Coffee, tea, mate and spices",1829605760
1996,"Areas, nes",,8,"Edible fruit, nuts, peel of citrus fruit, melons",5318
1996,Venezuela,VEN,8,"Edible fruit, nuts, peel of citrus fruit, melons",53475
1996,Uruguay,URY,8,"Edible fruit, nuts, peel of citrus fruit, melons",3354555
1996,USA,USA,8,"Edible fruit, nuts, peel of citrus fruit, melons",144667440
1996,United Kingdom,GBR,8,"Edible fruit, nuts, peel of citrus fruit, melons",25245716
1996,Algeria,DZA,9,"Coffee, tea, mate and spices",502105
1996,"China, Hong Kong SAR",HKG,8,"Edible fruit, nuts, peel of citrus fruit, melons",328193
1996,Germany,DEU,8,"Edible fruit, nuts, peel of citrus fruit, melons",5854079
1996,France,FRA,8,"Edible fruit, nuts, peel of citrus fruit, melons",4501038
1996,Spain,ESP,7,Edible vegetables and certain roots and tubers,8449
1996,So. African Customs Union,ZAF,7,Edible vegetables and certain roots and tubers,616104
1996,Portugal,PRT,7,Edible vegetables and certain roots and tubers,9912
1996,Peru,PER,7,Edible vegetables and certain roots and tubers,1343
1996,Paraguay,PRY,7,Edible vegetables and certain roots and tubers,74592
1996,Panama,PAN,7,Edible vegetables and certain roots and tubers,336199
1996,Netherlands,NLD,7,Edible vegetables and certain roots and tubers,1172136
1996,Thailand,THA,7,Edible vegetables and certain roots and tubers,18000
1996,Rep. of Korea,KOR,7,Edible vegetables and certain roots and tubers,8000
1996,Germany,DEU,7,Edible vegetables and certain roots and tubers,1169368
1996,France,FRA,7,Edible vegetables and certain roots and tubers,136100
1996,Colombia,COL,7,Edible vegetables and certain roots and tubers,19600
1996,Chile,CHL,7,Edible vegetables and certain roots and tubers,248528
1996,Canada,CAN,7,Edible vegetables and certain roots and tubers,138223
1996,Bolivia (Plurinational State of),BOL,7,Edible vegetables and certain roots and tubers,3459
1996,Argentina,ARG,7,Edible vegetables and certain roots and tubers,4859445
1996,Japan,JPN,7,Edible vegetables and certain roots and tubers,1401985
1996,United Kingdom,GBR,7,Edible vegetables and certain roots and tubers,630333
1996,USA,USA,7,Edible vegetables and certain roots and tubers,500909
1996,Uruguay,URY,7,Edible vegetables and certain roots and tubers,732903
1996,Finland,FIN,8,"Edible fruit, nuts, peel of citrus fruit, melons",4085045
1996,Dominican Rep.,DOM,8,"Edible fruit, nuts, peel of citrus fruit, melons",43199
1996,Denmark,DNK,8,"Edible fruit, nuts, peel of citrus fruit, melons",199421
1996,Cyprus,CYP,8,"Edible fruit, nuts, peel of citrus fruit, melons",185033
1996,Colombia,COL,8,"Edible fruit, nuts, peel of citrus fruit, melons",71983
1996,Chile,CHL,8,"Edible fruit, nuts, peel of citrus fruit, melons",81694
1996,Cabo Verde,CPV,8,"Edible fruit, nuts, peel of citrus fruit, melons",2232
1996,Canada,CAN,8,"Edible fruit, nuts, peel of citrus fruit, melons",18297960
1996,Bolivia (Plurinational State of),BOL,8,"Edible fruit, nuts, peel of citrus fruit, melons",1283
1996,Belgium-Luxembourg,BEL,8,"Edible fruit, nuts, peel of citrus fruit, melons",387424
1996,Austria,AUT,8,"Edible fruit, nuts, peel of citrus fruit, melons",38441
1996,Australia,AUS,8,"Edible fruit, nuts, peel of citrus fruit, melons",1259459
1996,Argentina,ARG,8,"Edible fruit, nuts, peel of citrus fruit, melons",13425414
1996,Angola,AGO,8,"Edible fruit, nuts, peel of citrus fruit, melons",1496
1996,World,WLD,8,"Edible fruit, nuts, peel of citrus fruit, melons",296337792
1996,"Areas, nes",,7,Edible vegetables and certain roots and tubers,4703
1996,Venezuela,VEN,7,Edible vegetables and certain roots and tubers,15060
1996,Bolivia (Plurinational State of),BOL,5,"Products of animal origin, nes",4181
1996,Canada,CAN,9,"Coffee, tea, mate and spices",22032042
1996,Belgium-Luxembourg,BEL,5,"Products of animal origin, nes",551387
1996,Australia,AUS,5,"Products of animal origin, nes",860
1996,Côte d'Ivoire,CIV,2,Meat and edible meat offal,394834
1996,Italy,ITA,2,Meat and edible meat offal,69347528
1996,Israel,ISR,2,Meat and edible meat offal,3266734
1996,Ireland,IRL,2,Meat and edible meat offal,2792460
1996,Iran,IRN,2,Meat and edible meat offal,9952283
1996,"China, Hong Kong SAR",HKG,2,Meat and edible meat offal,111976968
1996,Guinea,GIN,2,Meat and edible meat offal,57449
1996,Japan,JPN,2,Meat and edible meat offal,228603872
1996,Greece,GRC,2,Meat and edible meat offal,3141168
1996,Ghana,GHA,2,Meat and edible meat offal,98662
1996,Germany,DEU,2,Meat and edible meat offal,72042288
1996,Gambia,GMB,2,Meat and edible meat offal,26399
1996,Gabon,GAB,2,Meat and edible meat offal,57973
1996,France,FRA,2,Meat and edible meat offal,2746179
1996,Finland,FIN,2,Meat and edible meat offal,2771038
1996,Denmark,DNK,2,Meat and edible meat offal,11836
1996,Gibraltar,GIB,2,Meat and edible meat offal,1206175
1996,Czechia,CZE,2,Meat and edible meat offal,566338
1996,Jordan,JOR,2,Meat and edible meat offal,1254339
1996,Lebanon,LBN,2,Meat and edible meat offal,610052
1996,Guinea-Bissau,GNB,2,Meat and edible meat offal,25225
1996,Portugal,PRT,2,Meat and edible meat offal,6777320
1996,Poland,POL,2,Meat and edible meat offal,103067
1996,Philippines,PHL,2,Meat and edible meat offal,10320
1996,Peru,PER,2,Meat and edible meat offal,481513
1996,Paraguay,PRY,2,Meat and edible meat offal,1290690
1996,Panama,PAN,2,Meat and edible meat offal,233076
1996,Rep. of Korea,KOR,2,Meat and edible meat offal,334250
1996,Nigeria,NGA,2,Meat and edible meat offal,123070
1996,Aruba,ABW,2,Meat and edible meat offal,654964
1996,Neth. Antilles,ANT,2,Meat and edible meat offal,3441818
1996,Netherlands,NLD,2,Meat and edible meat offal,91780048
1996,Oman,OMN,2,Meat and edible meat offal,8343141
1996,Morocco,MAR,2,Meat and edible meat offal,1022997
1996,Mauritania,MRT,2,Meat and edible meat offal,404531
1996,"China, Macao SAR",MAC,2,Meat and edible meat offal,82389
1996,New Zealand,NZL,2,Meat and edible meat offal,1072
1996,Qatar,QAT,2,Meat and edible meat offal,15557756
1996,Cyprus,CYP,2,Meat and edible meat offal,69231
1996,Croatia,HRV,2,Meat and edible meat offal,36746632
1996,Peru,PER,1,Live animals,377793
1996,Paraguay,PRY,1,Live animals,2166732
1996,Netherlands,NLD,1,Live animals,7759
1996,Malaysia,MYS,1,Live animals,153640
1996,Japan,JPN,1,Live animals,1800
1996,Germany,DEU,1,Live animals,75399
1996,France,FRA,1,Live animals,5000
1996,Portugal,PRT,1,Live animals,6000
1996,Ecuador,ECU,1,Live animals,128785
1996,Chile,CHL,1,Live animals,739571
1996,Bolivia (Plurinational State of),BOL,1,Live animals,594379
1996,Belgium-Luxembourg,BEL,1,Live animals,4500
1996,Austria,AUT,1,Live animals,2500
1996,Argentina,ARG,1,Live animals,542593
1996,Angola,AGO,1,Live animals,4000
1996,World,WLD,1,Live animals,5841439
1996,Colombia,COL,1,Live animals,575000
1996,Cuba,CUB,2,Meat and edible meat offal,2827113
