"","Year","Country.Code","Commodity.Code","Animal.health","Consumer.information","Cost.saving","Food.safety","Harmonization","Labelling","Lower.barriers.to.trade","National.security.requirements","Not.specified","Other","Plant.protection","Prevention.of.deceptive.practices.and.consumer.protection","Protect.humans.from.animal.plant.pest.or.disease","Protect.territory.from.other.damage.from.pests","Protection.of.animal.or.plant.life.or.health","Protection.of.Human.health.or.Safety","Protection.of.the.environment","Quality.requirements","Trade.Value..US..","gdp_d","gdp_o","comrelig","gatt_d","gatt_o","eu_d","Origin","distw","ln_gdp_o","ln_gdp_d","ln_trade","ln_dist","contig","ln_Tariff"
"1",1997,"USA",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408970,8608500154368,871200325632,0.280848,1,1,0,"BRA",8088.51387595444,27.4931377823392,29.783771221095,12.9213970827015,8.99820029428468,0,0
"2",2005,"USA",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1657279,13093699584000,882185732096,0.280848,1,1,0,"BRA",8088.51387595444,27.5056684513919,30.2031522826569,14.3206876588191,8.99820029428468,0,1.22671229129543
"3",2005,"USA",8609,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1657279,13093699584000,882185732096,0.280848,1,1,0,"BRA",8088.51387595444,27.5056684513919,30.2031522826569,14.3206876588191,8.99820029428468,0,0
"4",2007,"ALB",2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37971925,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,17.4523576288423,9.14728502703773,0,2.39789527279837
"5",2007,"ALB",4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,2.39789527279837
"6",2007,"ALB",102,17,0,0,9,0,0,0,0,0,0,0,0,10,2,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"7",2007,"ALB",103,8,0,0,5,0,0,0,0,0,0,0,0,7,1,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"8",2007,"ALB",104,17,0,0,8,0,0,0,0,0,0,0,0,10,2,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"9",2007,"ALB",105,9,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"10",2007,"ALB",203,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"11",2007,"ALB",205,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"12",2007,"ALB",207,7,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"13",2007,"ALB",302,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"14",2007,"ALB",307,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"15",2007,"ALB",407,8,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"16",2007,"ALB",511,23,0,0,14,0,0,0,0,0,0,0,0,14,1,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"17",2007,"ALB",2309,8,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"18",2007,"ALB",10511,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"19",2007,"ALB",30193,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6470,10701011968,1366824058880,0.000205,1,1,0,"BRA",9388.91509358368,27.9435109593739,23.0936041503908,8.77493138749495,9.14728502703773,0,0
"20",2007,"ARG",6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,212442,329761488896,1366824058880,0.80533004,1,1,0,"BRA",2391.84640317984,27.9435109593739,26.5216354691681,12.2664242889149,7.77982090029134,1,1.94304891677428
"21",2007,"ARG",12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2120985,329761488896,1366824058880,0.80533004,1,1,0,"BRA",2391.84640317984,27.9435109593739,26.5216354691681,14.567391161386,7.77982090029134,1,0.0769610411361284
"22",2007,"ARG",511,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120985,329761488896,1366824058880,0.80533004,1,1,0,"BRA",2391.84640317984,27.9435109593739,26.5216354691681,14.567391161386,7.77982090029134,1,0
"23",2007,"ARG",1007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2120985,329761488896,1366824058880,0.80533004,1,1,0,"BRA",2391.84640317984,27.9435109593739,26.5216354691681,14.567391161386,7.77982090029134,1,0
"24",2007,"ARG",1206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2120985,329761488896,1366824058880,0.80533004,1,1,0,"BRA",2391.84640317984,27.9435109593739,26.5216354691681,14.567391161386,7.77982090029134,1,0
