,Unnamed: 0,Country,Country Code,Year,PIB_(1000_US$),contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,Commodity Code,Simple Average,Weighted Average,Imports Value in 1000 USD,Exp
0,0,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,1,0.0,0.0,585.559,BRA
1,1,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,2,0.0,0.0,101161.93,BRA
2,2,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,3,0.0,0.0,2992.493,BRA
3,3,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,4,0.0,0.0,3584.473,BRA
4,4,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,5,0.0,0.0,68.207,BRA
5,5,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,6,0.0,0.0,352.836,BRA
6,6,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,7,0.0,0.0,5395.49,BRA
7,7,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,8,0.0,0.0,14629.301000000001,BRA
8,8,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,9,0.0,0.0,88655.845,BRA
9,9,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,10,0.0,0.0,8472.815,BRA
10,10,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,11,0.0,0.0,2702.363,BRA
11,11,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,12,0.0,0.0,567.552,BRA
12,12,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,13,0.0,0.0,1934.46,BRA
13,13,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,14,0.0,0.0,4.753,BRA
14,14,Argentina,ARG,1996,272149750.0,1,0,0,0,0,0,0,0,1691.067,2353.257,2391.846,2089.281,15,0.0,0.0,11829.665,BRA
15,15,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,3,0.0,0.0,123.699,BRA
16,16,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,6,0.0,0.0,36.999,BRA
17,17,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,8,0.0,0.0,1647.629,BRA
18,18,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,9,0.0,0.0,9704.558,BRA
19,19,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,10,0.0,0.0,657.347,BRA
20,20,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,11,2.0,0.28,8.345,BRA
21,21,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,12,0.0,0.0,198.042,BRA
22,22,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,13,1.0,1.74,25.739,BRA
23,23,Australia,AUS,1996,400302731.411229,0,0,0,0,0,0,0,0,13371.76,14070.8,14046.75,13983.36,15,0.0,0.0,316.573,BRA
24,24,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,1,9.5,9.86,345.24800000000016,BRA
25,25,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,2,10.0,10.0,5.078,BRA
26,26,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,3,10.0,10.0,1.345,BRA
27,27,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,4,10.0,10.0,19.243,BRA
28,28,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,5,10.0,10.0,4.7410000000000005,BRA
29,29,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,6,10.0,10.0,254.833,BRA
30,30,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,9,10.0,10.0,14.163,BRA
31,31,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,10,10.0,10.0,889.008,BRA
32,32,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,11,10.0,10.0,318.711,BRA
33,33,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,12,10.0,10.0,39.87,BRA
34,34,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,13,10.0,10.0,20.631999999999998,BRA
35,35,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,14,10.0,10.0,134.817,BRA
36,36,Bolivia,BOL,1996,7396966.657470541,1,0,0,0,0,0,0,0,2380.92,1876.689,2388.9,2266.8779999999997,15,10.0,10.0,100.209,BRA
37,37,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,1,0.0,0.0,127.116,BRA
38,38,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,3,0.69,0.17,381.287,BRA
39,39,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,4,11.0,11.0,0.11599999999999999,BRA
40,40,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,5,0.0,0.0,120.08200000000001,BRA
41,41,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,6,3.54,3.57,84.27799999999998,BRA
42,42,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,7,1.38,3.78,163.642,BRA
43,43,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,8,0.53,0.01,20483.293999999998,BRA
44,44,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,9,0.0,0.0,48888.252,BRA
45,45,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,11,1.22,0.82,49.132,BRA
46,46,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,12,0.0,0.0,182.105,BRA
47,47,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,13,0.0,0.0,25.675,BRA
48,48,Canada,CAN,1996,628546387.972131,0,0,0,0,0,0,0,0,8191.353,7366.274,8458.686,8219.514000000001,15,2.0,0.0,594.756,BRA
49,49,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,3,0.0,0.0,383.765,BRA
50,50,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,6,0.0,0.0,8.781,BRA
51,51,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,7,0.0,0.0,11.515999999999998,BRA
52,52,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,8,0.0,0.0,3034.262,BRA
53,53,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,9,0.0,0.0,27134.943,BRA
54,54,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,12,0.0,0.0,10807.645,BRA
55,55,Switzerland,CHE,1996,330091423.94821995,0,0,0,0,0,0,0,0,9534.491,8896.274,8969.549,8880.709,15,0.0,0.0,162.754,BRA
56,56,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,1,11.0,11.0,722.0,BRA
57,57,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,2,11.0,11.0,73.0,BRA
58,58,Chile,CHL,1996,78039572.22160241,0,0,0,0,0,0,0,0,2590.783,3017.946,3196.1,3017.132,3,11.0,11.0,8.0,BRA
