Year,Country,Commodity Code,Animal health,Consumer information,Cost saving,Food safety,Harmonization,Labelling,Lower barriers to trade,National security requirements,Not specified,Other,Plant protection,Prevention of deceptive practices and consumer protection,Protect humans from animal/plant pest or disease,Protect territory from other damage from pests,Protection of Human health or Safety,Protection of animal or plant life or health,Protection of the environment,Quality requirements
1997,United States of America,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,United States of America,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,United States of America,8609,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,Albania,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,102,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Albania,103,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Albania,104,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Albania,105,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,203,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,205,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,207,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,302,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,307,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,407,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,511,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007,Albania,2309,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,10511,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Albania,30193,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Argentina,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Argentina,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Argentina,511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Argentina,1007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Argentina,1206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Argentina,12092,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,Armenia,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,Armenia,601,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,602,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,603,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,604,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,701,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,702,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,703,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,704,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,705,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,706,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,707,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,708,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,709,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,713,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,803,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,804,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,805,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,806,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,807,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,808,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,809,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,810,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1002,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1003,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1004,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1005,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1006,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1007,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1008,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1201,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2007,Armenia,1203,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
