"","Year","Country.Code","Commodity.Code","Animal health","Consumer information","Cost saving","Food safety","Harmonization","Labelling","Lower barriers to trade","National security requirements","Not specified","Other","Plant protection","Prevention of deceptive practices and consumer protection","Protect humans from animal/plant pest or disease","Protect territory from other damage from pests","Protection of animal or plant life or health","Protection of Human health or Safety","Protection of the environment","Quality requirements"
"1",1997,"USA",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2005,"USA",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"3",2005,"USA",8609,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"4",2007,"ALB",2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5",2007,"ALB",4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6",2007,"ALB",102,17,0,0,9,0,0,0,0,0,0,0,0,10,2,0,0,0,0
"7",2007,"ALB",103,8,0,0,5,0,0,0,0,0,0,0,0,7,1,0,0,0,0
"8",2007,"ALB",104,17,0,0,8,0,0,0,0,0,0,0,0,10,2,0,0,0,0
"9",2007,"ALB",105,9,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"10",2007,"ALB",203,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"11",2007,"ALB",205,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",2007,"ALB",207,7,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"13",2007,"ALB",302,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14",2007,"ALB",307,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"15",2007,"ALB",407,8,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"16",2007,"ALB",511,23,0,0,14,0,0,0,0,0,0,0,0,14,1,0,0,0,0
"17",2007,"ALB",2309,8,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"18",2007,"ALB",10511,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"19",2007,"ALB",30193,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"20",2007,"ARG",6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"21",2007,"ARG",12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"22",2007,"ARG",511,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2007,"ARG",1007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",2007,"ARG",1206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"25",2007,"ARG",12092,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",2007,"ARM",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"27",2007,"ARM",601,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"28",2007,"ARM",602,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"29",2007,"ARM",603,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"30",2007,"ARM",604,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"31",2007,"ARM",701,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"32",2007,"ARM",702,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"33",2007,"ARM",703,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"34",2007,"ARM",704,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"35",2007,"ARM",705,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"36",2007,"ARM",706,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"37",2007,"ARM",707,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"38",2007,"ARM",708,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"39",2007,"ARM",709,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"40",2007,"ARM",713,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"41",2007,"ARM",803,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"42",2007,"ARM",804,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"43",2007,"ARM",805,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"44",2007,"ARM",806,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"45",2007,"ARM",807,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"46",2007,"ARM",808,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"47",2007,"ARM",809,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"48",2007,"ARM",810,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"49",2007,"ARM",1001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"50",2007,"ARM",1002,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"51",2007,"ARM",1003,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"52",2007,"ARM",1004,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"53",2007,"ARM",1005,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"54",2007,"ARM",1006,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"55",2007,"ARM",1007,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"56",2007,"ARM",1008,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"57",2007,"ARM",1201,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"58",2007,"ARM",1203,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"59",2007,"ARM",1204,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"60",2007,"ARM",1205,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"61",2007,"ARM",1206,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"62",2007,"ARM",1207,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"63",2007,"ARM",1209,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"64",2007,"ARM",1210,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"65",2007,"ARM",1211,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"66",2007,"ARM",1214,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"67",2007,"ARM",2302,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"68",2007,"ARM",3002,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"69",2007,"ARM",4401,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"70",2007,"ARM",4403,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"71",2007,"ARM",4404,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"72",2007,"ARM",4406,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"73",2007,"ARM",4407,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"74",2007,"ARM",4409,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"75",2007,"ARM",4415,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"76",2007,"ARM",4416,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"77",2007,"ARM",9406,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"78",2007,"ARM",121291,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"79",2007,"ARM",121299,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"80",2007,"AUS",2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"81",2007,"AUS",4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"82",2007,"AUS",6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"83",2007,"AUS",7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"84",2007,"AUS",8,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"85",2007,"AUS",306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2007,"AUS",407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2007,"AUS",1201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2007,"AUS",1507,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2007,"AUS",160520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",2007,"AUS",210310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",2007,"BRA",1,2,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0
"92",2007,"BRA",6,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"93",2007,"BRA",31,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"94",2007,"BRA",102,6,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"95",2007,"BRA",103,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"96",2007,"BRA",104,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"97",2007,"BRA",106,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"98",2007,"BRA",201,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"99",2007,"BRA",203,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"100",2007,"BRA",204,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
