Year,Country,Country Code,Commodity Code,Objectives,Notification type
1995,United States of America,G/TBT/Notif.95/20, HS codes: 0207 ,,Regular
1995,European Union,G/SPS/N/EEC/20, HS codes: 0307 ,,Regular
1995,European Union,G/SPS/N/EEC/2, HS codes: 051199 ,,Regular
1995,European Union,G/SPS/N/EEC/7, HS codes: 1501  1502 ,,Regular
1995,European Union,G/SPS/N/EEC/3, HS codes: 020810  020890 ,,Regular
1995,European Union,G/SPS/N/EEC/13, HS codes: 0504  0210  2301 ,,Regular
1995,European Union,G/SPS/N/EEC/6, HS codes: 1502  1501 ,,Regular
1995,Mexico,G/SPS/N/MEX/53, HS codes: 0602  0601 ,,Regular
1995,European Union,G/SPS/N/EEC/21, HS codes: 020820  030760 ,,Regular
1995,European Union,G/SPS/N/EEC/15, HS codes: 0407 ,,Regular
1995,European Union,G/SPS/N/EEC/4, HS codes: 020890  020810 ,,Regular
1995,European Union,G/SPS/N/EEC/17, HS codes: 051199 ,,Regular
1995,Mexico,G/SPS/N/MEX/58, HS codes: 0602  1212 ,,Regular
1995,Morocco,G/SPS/N/MAR/1, HS codes: 060240 ,,Regular
1995,Mexico,G/SPS/N/MEX/59, HS codes: 1001 ,,Regular
1995,Mexico,G/SPS/N/MEX/57, HS codes: 060220 ,,Regular
1995,European Union,G/SPS/N/EEC/12, HS codes: 0207 ,,Regular
1995,Mexico,G/SPS/N/MEX/60, HS codes: 1005 ,,Regular
1995,Mexico,G/SPS/N/MEX/54, HS codes: 0603  0604 ,,Regular
1995,European Union,G/SPS/N/EEC/9, HS codes: 051199 ,,Regular
1995,Mexico,G/SPS/N/MEX/42, HS codes: 0803 ,,Regular
1995,Mexico,G/SPS/N/MEX/44, HS codes: 06 ,,Regular
1995,Mexico,G/SPS/N/MEX/47, HS codes: 1001 ,,Regular
1995,United States of America,G/SPS/N/USA/15, HS codes: 06 ,,Regular
1995,European Union,G/SPS/N/EEC/5, HS codes: 020890 ,,Regular
1995,European Union,G/SPS/N/EEC/14, HS codes: 0408 ,,Regular
1995,European Union,G/SPS/N/EEC/16, HS codes: 1504  1503  1502  1501 ,,Regular
1995,Japan,G/SPS/N/JPN/2, HS codes: 0204  0209  0203  0207  020641  020610  020649  0201  0401  0206  020680  020629  0202  0407  0408  0205  020622  020630 ,,Regular
1995,European Union,G/SPS/N/EEC/11, HS codes: 0104 ,,Regular
1995,Mexico,G/SPS/N/MEX/52, HS codes: 0701 ,,Regular
1995,Mexico,G/SPS/N/MEX/55, HS codes: 0602  1006 ,,Regular
1995,European Union,G/SPS/N/EEC/10, HS codes: 0407  0105 ,,Regular
1995,European Union,G/SPS/N/EEC/1, HS codes: 051199 ,,Regular
1995,Mexico,G/SPS/N/MEX/56, HS codes: 060290 ,,Regular
1995,United States of America,G/SPS/N/USA/15/Rev.1, HS codes: 06 ,,Regular
1995,Mexico,G/SPS/N/MEX/51, HS codes: 0805 ,,Regular
1995,Korea  Republic of,G/SPS/N/KOR/17, HS codes: 0203  0307  0302  0207  0201  0204 ,,Regular
1995,Mexico,G/SPS/N/MEX/62, HS codes: 0205  0201  0203  0204 ,,Regular
1995,Mexico,G/SPS/N/MEX/61, HS codes: 060290 ,,Regular
1995,Mexico,G/SPS/N/MEX/84, HS codes: 120720  070110  080440  070190  140420  060310  060290 ,,Regular
1995,Mexico,G/SPS/N/MEX/79, HS codes: 0103 ,,Regular
1995,Mexico,G/SPS/N/MEX/83, HS codes: 06 ,,Regular
1995,Canada,G/SPS/N/CAN/7, HS codes: 0106 ,,Regular
1995,Canada,G/SPS/N/CAN/5, HS codes: 0106 ,,Regular
1995,Canada,G/SPS/N/CAN/6, HS codes: 0106 ,,Regular
1995,Australia,G/SPS/N/AUS/8, HS codes: 0701 ,,Regular
1995,El Salvador,G/TBT/Notif.95/324/Add.1, HS codes: 1101  1101 ,,Addenda/Corrigenda
1995,Japan,G/TBT/Notif.95/341, HS codes: 0910  0812  0711 ,,Regular
1995,Brazil,G/SPS/N/BRA/1, HS codes: 06 ,,Regular
1995,Mexico,G/SPS/N/MEX/88, HS codes: 0203  0103 ,,Regular
1995,Mexico,G/SPS/N/MEX/87, HS codes: 0102 ,,Regular
1995,Mexico,G/SPS/N/MEX/86, HS codes: 08  06 ,,Regular
1995,Mexico,G/SPS/N/MEX/85, HS codes: 060491 ,,Regular
1995,Japan,G/TBT/Notif.95/361, HS codes: 29  32  48  37  35  13  38  27  33  30  34  94  40  05  12  17  96  90 ,,Regular
1995,Mexico,G/SPS/N/MEX/73, HS codes: 0103  0102  0106  0104  0105 ,,Regular
1995,Mexico,G/SPS/N/MEX/72, HS codes: 0204  0207  0208  0201  0203  0205 ,,Regular
1995,Mexico,G/SPS/N/MEX/70, HS codes: 2309  0203  0204  0102  0103  0104  0201 ,,Emergency
1995,Australia,G/SPS/N/AUS/7, HS codes: 0406 ,,Regular
1995,Mexico,G/SPS/N/MEX/67, HS codes: 060220 ,,Regular
1995,Mexico,G/SPS/N/MEX/65, HS codes: 08 ,,Regular
1995,Mexico,G/SPS/N/MEX/66, HS codes: 0701 ,,Regular
1995,Mexico,G/SPS/N/MEX/64, HS codes: 08 ,,Regular
1995,Mexico,G/SPS/N/MEX/63, HS codes: 0901  0602 ,,Regular
1995,Mexico,G/SPS/N/MEX/69, HS codes: 1209 ,,Regular
1995,Trinidad and Tobago,G/SPS/N/TTO/1, HS codes: 07  08 ,,Emergency
1995,Mexico,G/SPS/N/MEX/46, HS codes: 0602  0901 ,,Regular
1995,Mexico,G/SPS/N/MEX/78, HS codes: 0805 ,,Regular
1995,Mexico,G/SPS/N/MEX/76, HS codes: 1209 ,,Regular
1995,Mexico,G/SPS/N/MEX/71, HS codes: 0102  0101  0104 ,,Regular
1995,Mexico,G/SPS/N/MEX/81, HS codes: 080440 ,,Regular
1995,Mexico,G/SPS/N/MEX/80, HS codes: 0701 ,,Regular
1995,Japan,G/SPS/N/JPN/5, HS codes: 020311  020312  020319  02032  020321  020322  020329  0207  02071  02072  030269  030379  030410  030420  030490  030520  040610  040620  040640  040690  070110  070190  0702  070310  070320  070390  070410  070420  070490  070511  070519  07052  070521  070529  070810  070820  070890  071021  071022  071029  071310  071320  07133  071331  071332  071333  071339  071340  071350  071390  08011  08012  08013  0802  08021  080211  080212  08022  080221  080222  08023  080231  080232  080240  080250  080290  090411  090412  090420  0905  090610  090620  0907  090810  090820  090830  090910  090920  090930  090940  090950  091010  091020  091030  091040  091050  09109  091091  091099  120720  121190  150710  150790  150810  150890  150910  150990  151000  151110  151190  151211  151219  15122  151221  151229  151311  151319  15132  151321  151329  160420  190211  190219  190230  190510  190520  19053  190531  190532  190540  190590  200820  200830  200840  200850  200860  200870  200880  20089  200891  200892  200899  210220  210390  210410  210690  220110  220190  220210  220290  71022 ,,Regular
1995,European Union,G/SPS/N/EEC/22, HS codes: 051199 ,,Regular
1995,El Salvador,G/TBT/Notif.95/324, HS codes: 1101 ,,Regular
1995,Mexico,G/SPS/N/MEX/77, HS codes: 0803 ,,Regular
1995,Mexico,G/SPS/N/MEX/45, HS codes: 12  10 ,,Regular
1995,Korea  Republic of,G/SPS/N/KOR/2, HS codes: 121120  1302 ,,Regular
1995,Mexico,G/SPS/N/MEX/49, HS codes: 06 ,,Emergency
1995,Czech Republic,G/TBT/Notif.95/127, HS codes: 0303 ,,Regular
1995,Czech Republic,G/TBT/Notif.95/128, HS codes: 071021 ,,Regular
1995,United States of America,G/SPS/N/USA/6, HS codes: 0709 ,,Regular
1995,United States of America,G/SPS/N/USA/7, HS codes: 0803 ,,Regular
1995,United States of America,G/TBT/Notif.95/141, HS codes: 0805 ,,Regular
1995,Mexico,G/SPS/N/MEX/7, HS codes: 0102 ,,Regular
1995,Mexico,G/SPS/N/MEX/6, HS codes: 02 ,,Regular
1995,Mexico,G/SPS/N/MEX/8, HS codes: 0805 ,,Regular
1995,Mexico,G/SPS/N/MEX/21, HS codes: 0103 ,,Regular
1995,Mexico,G/SPS/N/MEX/13, HS codes: 0701 ,,Regular
1995,Mexico,G/SPS/N/MEX/10, HS codes: 060410  060390 ,,Regular
1995,Mexico,G/SPS/N/MEX/16, HS codes: 01 ,,Regular
1995,Mexico,G/SPS/N/MEX/23, HS codes: 0203  0204  0205  0207  0201 ,,Regular
1995,Mexico,G/SPS/N/MEX/19, HS codes: 0203  0204  0205  0201  0207 ,,Regular
1995,Mexico,G/SPS/N/MEX/15, HS codes: 0602  1212 ,,Regular
1995,United States of America,G/SPS/N/USA/5, HS codes: 12 ,,Regular
1995,Malaysia,G/SPS/N/MYS/1, HS codes: 0103  0401  0105  0407  0203 ,,Regular
1995,Korea  Republic of,G/TBT/Notif.95/100, HS codes: 100510  1205  100190  071420  070110  120740  100300  1202  1201  071332  100610  100810  071331  100820  120799  120210  1007 ,,Regular
1995,United States of America,G/TBT/Notif.95/95, HS codes: 0806 ,,Regular
1995,United States of America,G/SPS/N/USA/3, HS codes: 02 ,,Regular
1995,Canada,G/SPS/N/CAN/1, HS codes: 06 ,,Regular
1995,Mexico,G/SPS/N/MEX/5, HS codes: 0207  0407  0105 ,,Regular
1995,Mexico,G/SPS/N/MEX/1, HS codes: 0105 ,,Regular
1995,Mexico,G/SPS/N/MEX/2, HS codes: 0102 ,,Regular
1995,Mexico,G/SPS/N/MEX/3, HS codes: 0103 ,,Regular
1995,Slovak Republic,G/TBT/Notif.95/66, HS codes: 23  76  85  11  39  55  83  56  90  59  52  54  34  65  27  40  68  70  63  50  64  73  57  33  38  25  69  51  60  87  32  53  62  61  28  42  84 ,,Regular
1995,Mexico,G/SPS/N/MEX/20, HS codes: 0201  0205  0203  0204  0207 ,,Regular
1995,Canada,G/SPS/N/CAN/1/Rev.1, HS codes: 06 ,,Regular
1995,United States of America,G/TBT/Notif.95/75, HS codes: 0703 ,,Regular
1995,United States of America,G/TBT/Notif.95/76, HS codes: 0805 ,,Regular
1995,Korea  Republic of,G/SPS/N/KOR/3, HS codes: 0106 ,,Regular
1995,Japan,G/TBT/Notif.95/91, HS codes: 151710 ,,Regular
1995,Japan,G/TBT/Notif.95/89, HS codes: 151790 ,,Regular
1995,Japan,G/TBT/Notif.95/88, HS codes: 1501 ,,Regular
1995,United States of America,G/TBT/Notif.95/20/Add.1, HS codes: 0207  0207 ,,Addenda/Corrigenda
1995,Belgium,G/SPS/N/BEL/1, HS codes: 0207 ,,Regular
1995,Mexico,G/SPS/N/MEX/9, HS codes: 07  08 ,,Regular
1995,Mexico,G/SPS/N/MEX/43, HS codes: 07  08 ,,Regular
1995,Mexico,G/SPS/N/MEX/22, HS codes: 0201  0102  0103  3004  0204  2309  0104  0203 ,,Regular
1995,Australia,G/SPS/N/AUS/2, HS codes: 0306 ,,Regular
1995,Australia,G/SPS/N/AUS/3, HS codes: 030212  030541  030490  030410  030420  03031 ,,Regular
1995,Mexico,G/SPS/N/MEX/37, HS codes: 0701 ,,Regular
1995,Argentina,G/SPS/N/ARG/1, HS codes: 06 ,,Regular
1995,Argentina,G/SPS/N/ARG/2, HS codes: 06 ,,Regular
1995,Mexico,G/SPS/N/MEX/17, HS codes: 0207  0201  0205  0204  0203 ,,Regular
1995,Korea  Republic of,G/SPS/N/KOR/14, HS codes: 0302 ,,Regular
1995,Mexico,G/SPS/N/MEX/38, HS codes: 0103 ,,Regular
1995,Mexico,G/SPS/N/MEX/41, HS codes: 0805 ,,Regular
1995,Korea  Republic of,G/SPS/N/KOR/13, HS codes: 06 ,,Regular
1995,Mexico,G/SPS/N/MEX/39, HS codes: 0102 ,,Regular
1995,Korea  Republic of,G/SPS/N/KOR/12, HS codes: 0407 ,,Regular
1995,Australia,G/SPS/N/AUS/5, HS codes: 121190 ,,Regular
1995,Australia,G/SPS/N/AUS/4, HS codes: 0406 ,,Regular
1995,Mexico,G/SPS/N/MEX/48, HS codes: 060290 ,,Emergency
1995,Malaysia,G/SPS/N/MYS/1/Corr.1, HS codes: 0401  0203  0407  0103  0105 ,,Addenda/Corrigenda
1995,Mexico,G/SPS/N/MEX/35, HS codes: 0201  0204  0205  0203 ,,Regular
