ReporterIS03,NTMCode,NTMDescription,Sector,NTM Coverage ratio,NTM Frequency ratio,NTM affected product - count,Duty free NTM Frequency ratio,Duty free NTM coverage ratio,NTM affected duty free imports %,Duty free product count,Duty free imports,NTM affected trade,Duty free total products - count,NTM partial coverage,Traded products - total,Duty free imports - total,Total Trade
AFG,A,Sanitary and phytosanitary measures,Animal,42.07,33.33,50,,,,0,,146236.7,0,0,150,0,347579.21
AFG,A110,Temporary geographic prohibitions for SPS reasons,Animal,42.07,33.33,50,,,,0,,146236.7,0,0,150,0,347579.21
AFG,A310,Labelling requirements,Animal,42.07,33.33,50,,,,0,,146236.7,0,0,150,0,347579.21
AFG,A810,Product registration requirement,Animal,42.07,33.33,50,,,,0,,146236.7,0,0,150,0,347579.21
AFG,A820,Testing requirement,Animal,42.07,33.33,50,,,,0,,146236.7,0,0,150,0,347579.21
AFG,A830,Certification requirement,Animal,42.07,33.33,50,,,,0,,146236.7,0,0,150,0,347579.21
AFG,ALL,ALL MEASURES,Animal,42.78,37.33,56,,,,0,,148682.02,0,0,150,0,347579.21
AFG,E,"Licences, quotas, prohibitions and other quantity control measures",Animal,40.71,31.33,47,,,,0,,141490.19,0,0,150,0,347579.21
AFG,E321,"Prohibition for religious, moral or cultural reasons",Animal,40.71,31.33,47,,,,0,,141490.19,0,0,150,0,347579.21
AFG,A,Sanitary and phytosanitary measures,Vegetable,21.6,58.47,145,0,,,0,,514292.25,2,0,248,0,2380836.92
AFG,A110,Temporary geographic prohibitions for SPS reasons,Vegetable,0.01,0.4,1,0,,,0,,192.35,2,0,248,0,2380836.92
AFG,A810,Product registration requirement,Vegetable,21.59,58.06,144,0,,,0,,514099.9,2,0,248,0,2380836.92
AFG,A820,Testing requirement,Vegetable,21.59,58.06,144,0,,,0,,514099.9,2,0,248,0,2380836.92
AFG,A830,Certification requirement,Vegetable,21.59,58.06,144,0,,,0,,514099.9,2,0,248,0,2380836.92
AFG,ALL,ALL MEASURES,Vegetable,42.47,71.77,178,0,,,0,,1011132.6,2,0,248,0,2380836.92
AFG,B,Technical barriers to trade,Vegetable,20.87,12.9,32,0,,,0,,496823.37,2,0,248,0,2380836.92
AFG,B310,Labelling requirements,Vegetable,20.87,12.9,32,0,,,0,,496823.37,2,0,248,0,2380836.92
AFG,B420,TBT regulations on transport and storage,Vegetable,20.87,12.9,32,0,,,0,,496823.37,2,0,248,0,2380836.92
AFG,B820,Testing requirement,Vegetable,20.87,12.9,32,0,,,0,,496823.37,2,0,248,0,2380836.92
AFG,B830,Certification requirement,Vegetable,20.87,12.9,32,0,,,0,,496823.37,2,0,248,0,2380836.92
AFG,C,Pre-shipment inspection and other formalities,Vegetable,21.59,58.06,144,0,,,0,,514099.9,2,0,248,0,2380836.92
AFG,C300,Requirement to pass through specified port of customs,Vegetable,21.59,58.06,144,0,,,0,,514099.9,2,0,248,0,2380836.92
AFG,E,"Licences, quotas, prohibitions and other quantity control measures",Vegetable,21.59,58.47,145,0,,,0,,514116.88,2,0,248,0,2380836.92
AFG,E111,Licensing procedure with no specific ex-ante criteria,Vegetable,21.59,58.06,144,0,,,0,,514099.9,2,0,248,0,2380836.92
AFG,E321,"Prohibition for religious, moral or cultural reasons",Vegetable,0,0.4,1,0,,,0,,16.98,2,0,248,0,2380836.92
AFG,P,Export related measures,Vegetable,83.38,74.57,129,,,,0,,845729,0,0,173,,1014321.85
AFG,P130,Licensing or permit requirements to export,Vegetable,83.38,74.57,129,,,,0,,845729,0,0,173,,1014321.85
AFG,P610,Inspection requirement,Vegetable,83.38,74.57,129,,,,0,,845729,0,0,173,,1014321.85
AFG,A,Sanitary and phytosanitary measures,Food Products,2.7,28.49,51,,,,0,,36212.6,0,0,179,0,1343251.8
AFG,A110,Temporary geographic prohibitions for SPS reasons,Food Products,0.11,1.12,2,,,,0,,1536.6,0,0,179,0,1343251.8
AFG,A810,Product registration requirement,Food Products,2.58,27.37,49,,,,0,,34676.01,0,0,179,0,1343251.8
AFG,A820,Testing requirement,Food Products,2.58,27.37,49,,,,0,,34676.01,0,0,179,0,1343251.8
AFG,A830,Certification requirement,Food Products,2.58,27.37,49,,,,0,,34676.01,0,0,179,0,1343251.8
AFG,ALL,ALL MEASURES,Food Products,4.63,51.4,92,,,,0,,62138.18,0,0,179,0,1343251.8
AFG,B,Technical barriers to trade,Food Products,1.52,14.53,26,,,,0,,20418.21,0,0,179,0,1343251.8
AFG,B820,Testing requirement,Food Products,1.52,14.53,26,,,,0,,20418.21,0,0,179,0,1343251.8
AFG,B830,Certification requirement,Food Products,1.52,14.53,26,,,,0,,20418.21,0,0,179,0,1343251.8
AFG,C,Pre-shipment inspection and other formalities,Food Products,2.58,27.37,49,,,,0,,34676.01,0,0,179,0,1343251.8
AFG,C300,Requirement to pass through specified port of customs,Food Products,2.58,27.37,49,,,,0,,34676.01,0,0,179,0,1343251.8
AFG,E,"Licences, quotas, prohibitions and other quantity control measures",Food Products,3.86,38.55,69,,,,0,,51793.87,0,0,179,0,1343251.8
AFG,E111,Licensing procedure with no specific ex-ante criteria,Food Products,2.58,27.37,49,,,,0,,34676.01,0,0,179,0,1343251.8
AFG,E321,"Prohibition for religious, moral or cultural reasons",Food Products,1.27,11.17,20,,,,0,,17117.87,0,0,179,0,1343251.8
AFG,P,Export related measures,Food Products,52.3,27.27,24,,,,0,,2749.42,0,0,88,,5257.47
AFG,P130,Licensing or permit requirements to export,Food Products,52.3,27.27,24,,,,0,,2749.42,0,0,88,,5257.47
AFG,P610,Inspection requirement,Food Products,52.3,27.27,24,,,,0,,2749.42,0,0,88,,5257.47
AFG,ALL,ALL MEASURES,Fuels,99.68,30.77,8,,,,0,,765325.72,0,0,26,0,767766.84
AFG,F,"Charges, taxes and other para-tariff measures",Fuels,99.68,30.77,8,,,,0,,765325.72,0,0,26,0,767766.84
AFG,F800,Decreed Customs Valuations,Fuels,99.68,30.77,8,,,,0,,765325.72,0,0,26,0,767766.84
AFG,P,Export related measures,Fuels,100,100,9,,,,0,,161550.98,0,0,9,,161550.98
AFG,P130,Licensing or permit requirements to export,Fuels,100,100,9,,,,0,,161550.98,0,0,9,,161550.98
AFG,A,Sanitary and phytosanitary measures,Chemicals,1.08,1.28,6,0,,,0,,9253.81,5,0,470,574.48,855960.83
AFG,A140,Special Authorization requirement for SPS reasons,Chemicals,1.08,1.28,6,0,,,0,,9253.81,5,0,470,574.48,855960.83
