"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage","Simple Tariff Line Average","Brazil"
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",1996,,,"AHS",4.98,6.52,0,40,98,1,6,,,6.76,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",1997,,,"AHS",5.49,5.11,0,20,113,0,3,,,6.03,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",1998,,,"AHS",4.09,4.74,0,20,103,0,1,,,3.42,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",1999,,,"AHS",5.33,5.62,0,23,123,0,4,,,6.36,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2000,,,"AHS",5.16,6.9,0,46.15,129,2,5,,,6.34,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2001,,,"AHS",5.82,5.21,0,23,168,0,3,,,5.95,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2002,,,"AHS",4.32,4.96,0,23,182,0,2,,,4.41,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2003,,,"AHS",4.68,5.92,0,23,97,0,6,,,5.92,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2004,,,"AHS",4.05,6.33,0,30,131,0,7,,,4.81,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2005,,,"AHS",5,7.12,0,30,171,1,17,,,5.53,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2006,,,"AHS",5.63,7.81,0,40,171,3,18,,,5.85,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2007,,,"AHS",6.03,8.49,0,30,181,0,25,,,6.19,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2008,,,"AHS",5.04,7.43,0,30,181,0,18,,,5.31,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2009,,,"AHS",3.98,6.52,0,30,169,0,13,,,4.64,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2010,,,"AHS",6.72,33.93,0,135,179,14,30,,,14.87,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2011,,,"AHS",5.94,25.88,0,135,170,17,29,,,10.63,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2012,,,"AHS",3.33,7.07,0,30,141,7,12,,,4.17,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2013,,,"AHS",6.45,22.37,0,135,173,16,29,,,10.37,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2014,,,"AHS",4.11,6.17,0,30,147,5,10,,,4.11,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2015,,,"AHS",3.11,5.27,0,30,145,3,5,,,3.16,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2016,,,"AHS",4.74,22.44,0,135,160,16,21,,,9.23,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2017,,,"AHS",3.34,6.7,0,30,107,4,8,,,3.81,
"HS","HS","","All countries  All --- All  ","01","LIVE ANIMALS",2018,,,"AHS",3.07,5.28,0,30,114,3,4,,,3.69,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",1996,,,"AHS",22.32,42.89,0,325.26,298,69,93,,,24.65,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",1997,,,"AHS",22.12,42.59,0,376.5,392,65,101,,,21.97,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",1998,,,"AHS",18.47,40.92,0,314.5,357,75,121,,,22.33,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",1999,,,"AHS",14.35,48.57,0,506.28,471,93,138,,,24.14,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",2000,,,"AHS",13.1,27.75,0,220.46,624,116,213,,,18.95,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",2001,,,"AHS",10.17,15.33,0,131.5,790,57,123,,,11.42,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",2002,,,"AHS",11.12,13.99,0,128,998,72,171,,,12.17,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",2003,,,"AHS",11.44,18.5,0,169.82,1007,72,203,,,13.54,
"HS","HS","","All countries  All --- All  ","02","MEAT AND EDIBLE MEAT OFFAL",2004,,,"AHS",11.22,19.6,0,275,1050,97,238,,,12.72,
